"model","terms","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV"
"m1","CPUE",0.595,32.57,0.389,0.192,0.118
"m2","CPUE + ISTI20_MJJ",0.808,16.4,0.256,0.118,0.079
"m3","CPUE + Chatham_SST_May",0.79,18.61,0.257,0.124,0.079
"m4","CPUE + Chatham_SST_MJJ",0.742,23.56,0.313,0.138,0.097
"m5","CPUE + Chatham_SST_AMJ",0.793,18.26,0.269,0.107,0.082
"m6","CPUE + Chatham_SST_AMJJ",0.772,20.53,0.288,0.115,0.087
"m7","CPUE + Icy_Strait_SST_May",0.773,20.45,0.245,0.125,0.076
"m8","CPUE + Icy_Strait_SST_MJJ",0.729,24.74,0.32,0.138,0.1
"m9","CPUE + Icy_Strait_SST_AMJ",0.763,21.52,0.271,0.121,0.084
"m10","CPUE + Icy_Strait_SST_AMJJ",0.749,22.87,0.303,0.12,0.093
"m11","CPUE + NSEAK_SST_May",0.778,19.94,0.252,0.127,0.078
"m12","CPUE + NSEAK_SST_MJJ",0.747,23.03,0.305,0.132,0.094
"m13","CPUE + NSEAK_SST_AMJ",0.782,19.43,0.261,0.107,0.08
"m14","CPUE + NSEAK_SST_AMJJ",0.766,21.21,0.286,0.113,0.087
"m15","CPUE + SEAK_SST_May",0.759,21.85,0.273,0.137,0.085
"m16","CPUE + SEAK_SST_MJJ",0.734,24.3,0.314,0.14,0.098
"m17","CPUE + SEAK_SST_AMJ",0.769,20.91,0.276,0.117,0.085
"m18","CPUE + SEAK_SST_AMJJ",0.75,22.74,0.3,0.124,0.092
