"Year","Harvest","CPUE","Temperature"
1998,42.5,2.48,9.28
1999,77.8,5.62,9.4
2000,20.3,1.6,8.56
2001,67,3.73,8.77
2002,45.3,2.87,9.03
2003,52.5,2.78,8.2
2004,45.3,3.08,9.31
2005,59.1,3.9,9.33
2006,11.6,2.04,10.21
2007,44.8,2.58,8.75
2008,15.9,1.17,8.94
2009,38,2.32,7.91
2010,24,2.33,9.36
2011,58.9,4.11,9.35
2012,21.3,1.51,8.65
2013,94.7,3.52,8.48
2014,37.2,2.14,8.83
2015,35.1,3.8,9.12
2016,18.4,2.45,9.61
2017,34.7,4.35,10.2
2018,8.1,0.35,8.56
2019,21.1,1.17,8.92
2020,8.07,1.14,9.91
2021,48.4,2.15,8.89
2022,NA,0.88,8.89
