"year","SEAKCatch","CPUE","ISTI20_MJJ","resid","hat_values","Cooks_distance","std_resid","fit_bias_corrected"
1998,42.5,2.48,9.28,0.47,0.05,0.05,1.65,27.61
1999,77.8,5.62,9.4,-0.4,0.3,0.38,-1.63,121.32
2000,20.3,1.6,8.56,-0.23,0.09,0.02,-0.83,26.75
2001,67,3.73,8.77,0.03,0.1,0,0.1,67.96
2002,45.3,2.87,9.03,0.21,0.04,0.01,0.71,38.52
2003,52.5,2.78,8.2,-0.07,0.15,0,-0.25,58.62
2004,45.3,3.08,9.31,0.26,0.05,0.02,0.91,36.45
2005,59.1,3.9,9.33,0.14,0.09,0.01,0.49,53.85
2006,11.6,2.04,10.21,-0.08,0.26,0.01,-0.33,13.17
2007,44.8,2.58,8.75,0.18,0.06,0.01,0.64,38.96
2008,15.9,1.17,8.94,-0.05,0.1,0,-0.19,17.51
2009,38,2.32,7.91,-0.33,0.22,0.15,-1.25,54.92
2010,24,2.33,9.36,0.02,0.06,0,0.08,24.5
2011,58.9,4.11,9.35,0.04,0.11,0,0.15,59.05
2012,21.3,1.51,8.65,-0.09,0.09,0,-0.31,24.28
2013,94.7,3.52,8.48,0.31,0.13,0.07,1.14,72.26
2014,37.2,2.14,8.83,0.26,0.05,0.02,0.91,29.91
2015,35.1,3.8,9.12,-0.46,0.08,0.08,-1.62,57.78
2016,18.4,2.45,9.61,-0.16,0.09,0.01,-0.57,22.58
2017,34.7,4.35,10.2,-0.13,0.25,0.03,-0.52,41.33
2018,8.1,0.35,8.56,-0.53,0.2,0.35,-2.03,14.43
2019,21.1,1.17,8.92,0.22,0.1,0.02,0.8,17.62
2020,8.1,1.14,9.91,-0.17,0.25,0.05,-0.66,9.97
2021,48.4,2.15,8.89,0.55,0.05,0.07,1.92,29.13
