"terms","model","fit","fit_LPI","fit_UPI","AdjR2","MAPE5","MAPE10"
"CPUE","m1",20.981,11.376,38.695,0.542,0.52,0.603
"CPUE + Chatham_SST_AMJ","m5",21.935,13.58,35.431,0.721,0.394,0.309
"CPUE + Chatham_SST_AMJJ","m6",20.801,12.436,34.793,0.678,0.42,0.344
"CPUE + Chatham_SST_May","m3",18.915,11.695,30.593,0.719,0.392,0.278
"CPUE + Chatham_SST_MJJ","m4",20.235,11.743,34.868,0.639,0.455,0.4
"CPUE + Icy_Strait_SST_AMJ","m9",22.716,13.717,37.617,0.692,0.419,0.321
"CPUE + Icy_Strait_SST_AMJJ","m10",22.462,13.256,38.061,0.663,0.423,0.359
"CPUE + Icy_Strait_SST_May","m7",19.091,11.628,31.343,0.701,0.407,0.268
"CPUE + Icy_Strait_SST_MJJ","m8",22.455,12.985,38.832,0.637,0.448,0.399
"CPUE + ISTI20_MJJ","m2",19.983,12.582,31.739,0.739,0.334,0.38
"CPUE + ISTI20_MJJ + zoo_density_June + condition_July","m19",8.913,4.937,16.093,0.797,0.294,0.416
"CPUE + NSEAK_SST_AMJ","m13",21.292,12.903,35.136,0.695,0.402,0.314
"CPUE + NSEAK_SST_AMJJ","m14",20.259,11.915,34.445,0.657,0.42,0.322
"CPUE + NSEAK_SST_May","m11",19.233,11.707,31.596,0.7,0.399,0.265
"CPUE + NSEAK_SST_MJJ","m12",19.973,11.501,34.685,0.629,0.442,0.357
"CPUE + SEAK_SST_AMJ","m17",20.829,12.457,34.829,0.678,0.42,0.338
"CPUE + SEAK_SST_AMJJ","m18",19.558,11.38,33.613,0.643,0.438,0.343
"CPUE + SEAK_SST_May","m15",18.796,11.28,31.32,0.683,0.423,0.313
"CPUE + SEAK_SST_MJJ","m16",18.972,10.841,33.202,0.621,0.455,0.379
