"year","SEAK_SST_MJJ","SEAK_SST_May","SEAK_SST_AMJJ","SEAK_SST_AMJ"
1997,10.47,8,9.2,7.99
1998,10.36,8.37,9.38,8.37
1999,9.3,7.23,8.4,7.43
2000,10.02,7.71,8.95,7.86
2001,9.51,7.1,8.52,7.45
2002,9.44,6.92,8.33,7.14
2003,10.32,8.17,9.25,8.16
2004,10.98,8.58,9.74,8.51
2005,11.06,8.92,9.83,8.82
2006,10.19,7.63,9.07,7.96
2007,9.99,7.51,8.82,7.64
2008,9.18,7.22,8.17,7.28
2009,10.2,7.76,8.85,7.73
2010,10.09,8.28,9.05,8.23
2011,10.05,7.74,8.88,7.92
2012,9.68,7.47,8.63,7.61
2013,10.39,7.51,9.1,7.85
2014,10.57,8.62,9.26,8.17
2015,11.43,9.64,10.21,9.32
2016,11.67,9.61,10.59,9.59
2017,10.31,8.25,9.28,8.29
2018,10.79,8.28,9.54,8.3
2019,11.46,9.01,10.25,9.05
2020,10.7,8.9,9.52,8.53
2021,10.82,7.97,9.58,8.31
