"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m20",1998,1997,0.303,0.047,0.023,1.191,3.447
"m20",1999,1998,-0.419,0.3,0.529,-1.922,4.773
"m20",2000,1999,-0.263,0.111,0.048,-1.07,3.273
"m20",2001,2000,0.157,0.084,0.012,0.631,4.047
"m20",2002,2001,-0.032,0.084,0,-0.127,3.845
"m20",2003,2002,-0.062,0.159,0.004,-0.259,4.023
"m20",2004,2003,0.19,0.049,0.01,0.749,3.623
"m20",2005,2004,0.169,0.092,0.016,0.681,3.91
"m20",2006,2005,-0.32,0.128,0.085,-1.314,2.771
"m20",2007,2006,0.289,0.048,0.022,1.136,3.514
"m20",2008,2007,-0.259,0.13,0.056,-1.066,3.025
"m20",2009,2008,-0.095,0.126,0.007,-0.39,3.733
"m20",2010,2009,-0.287,0.057,0.026,-1.134,3.465
"m20",2011,2010,0.028,0.106,0.001,0.115,4.048
"m20",2012,2011,0.12,0.085,0.007,0.482,2.939
"m20",2013,2012,0.445,0.098,0.117,1.798,4.106
"m20",2014,2013,0.133,0.08,0.008,0.532,3.483
"m20",2015,2014,-0.395,0.083,0.076,-1.582,3.953
"m20",2016,2015,0.158,0.206,0.04,0.682,2.754
"m20",2017,2016,0.081,0.359,0.028,0.387,3.466
"m20",2018,2017,-0.134,0.218,0.032,-0.584,2.226
"m20",2019,2018,0.349,0.112,0.085,1.421,2.7
"m20",2020,2019,-0.158,0.239,0.05,-0.693,2.245
