"region","year","SST_MJJ","SST_May"
"ISTI_Jordan",1997,10.43,7.14
"ISTI_Jordan",1998,10.07,7.35
"ISTI_Jordan",1999,9.18,6.13
"ISTI_Jordan",2000,10.05,7.09
"ISTI_Jordan",2001,9.65,6.49
"ISTI_Jordan",2002,9.41,6.32
"ISTI_Jordan",2003,10.17,7.42
"ISTI_Jordan",2004,10.84,7.71
"ISTI_Jordan",2005,11.32,8.59
"ISTI_Jordan",2006,10.28,6.88
"ISTI_Jordan",2007,9.59,6.6
"ISTI_Jordan",2008,8.9,6.44
"ISTI_Jordan",2009,10.11,7.35
"ISTI_Jordan",2010,9.99,7.82
"ISTI_Jordan",2011,9.93,6.86
"ISTI_Jordan",2012,9.29,6.96
"ISTI_Jordan",2013,10.02,6.49
"ISTI_Jordan",2014,10.33,8.01
"ISTI_Jordan",2015,10.82,8.44
"ISTI_Jordan",2016,11.76,8.92
"ISTI_Jordan",2017,9.92,7.34
"ISTI_Jordan",2018,10.16,7.03
"ISTI_Jordan",2019,10.92,7.92
"ISTI_Jordan",2020,10.63,8.08
