"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m16",1998,1997,0.313,0.046,0.027,1.292,3.437
"m16",1999,1998,-0.595,0.316,1.297,-2.901,4.949
"m16",2000,1999,-0.359,0.136,0.127,-1.56,3.37
"m16",2001,2000,0.092,0.092,0.005,0.388,4.113
"m16",2002,2001,-0.114,0.105,0.009,-0.486,3.927
"m16",2003,2002,-0.029,0.139,0.001,-0.126,3.99
"m16",2004,2003,0.183,0.049,0.01,0.756,3.631
"m16",2005,2004,0.178,0.092,0.019,0.753,3.902
"m16",2006,2005,-0.113,0.212,0.024,-0.513,2.564
"m16",2007,2006,0.193,0.059,0.013,0.801,3.61
"m16",2008,2007,-0.199,0.119,0.033,-0.854,2.965
"m16",2009,2008,-0.028,0.1,0.001,-0.117,3.665
"m16",2010,2009,-0.051,0.049,0.001,-0.211,3.229
"m16",2011,2010,0.145,0.115,0.017,0.622,3.931
"m16",2012,2011,0.079,0.086,0.004,0.335,2.979
"m16",2013,2012,0.504,0.085,0.139,2.124,4.047
"m16",2014,2013,0.003,0.113,0,0.012,3.614
"m16",2015,2014,-0.122,0.116,0.012,-0.523,3.68
"m16",2016,2015,0.118,0.178,0.02,0.525,2.794
"m16",2017,2016,-0.031,0.284,0.003,-0.149,3.578
"m16",2018,2017,-0.133,0.217,0.034,-0.608,2.225
"m16",2019,2018,0.248,0.107,0.045,1.058,2.802
"m16",2020,2019,-0.28,0.183,0.117,-1.251,2.368
