"model","terms","fit","fit_LPI","fit_UPI"
"m1s","CPUE",27.618,16.486,46.269
"m2s","CPUE + ISTI3_May",24.012,16.648,34.633
"m3s","CPUE + ISTI10_May",23.686,16.471,34.062
"m4s","CPUE + ISTI15_May",23.77,16.409,34.433
"m5s","CPUE + ISTI20_May",24.18,16.642,35.132
"m6s","CPUE + ISTI3_MJJ",31.123,20.864,46.428
"m7s","CPUE + ISTI10_MJJ",30.082,20.549,44.039
"m8s","CPUE + ISTI15_MJJ",28.985,20.037,41.929
"m9s","CPUE + ISTI20_MJJ",28.165,19.712,40.244
"m10s","CPUE + IS3_May",23.542,16.362,33.872
"m11s","CPUE + IS3_MJJ",31.342,20.677,47.506
"m12s","CPUE + Chatham_Strait_SST_MJJ",23.896,16.071,35.531
"m13s","CPUE + Chatham_Strait_SST_May",19.446,14.374,26.307
"m14s","CPUE + Chatham_Strait_SST_AMJJ",24.535,16.807,35.817
"m15s","CPUE + Icy_Strait_SST_MJJ",20.881,14.139,30.838
"m16s","CPUE + Icy_Strait_SST_May",16.666,12.634,21.983
" m17s","CPUE + Icy_Strait_SST_AMJJ",20.89,14.324,30.465
"m18s","CPUE + NSEAK_SST_MJJ",22.016,14.921,32.485
"m19s","CPUE + NSEAK_SST_May",17.816,13.208,24.033
"m20s","CPUE + NSEAK_SST_AMJJ",22.064,15.105,32.229
"m21s","CPUE + SST_Jordan_MJJ",21.158,14.185,31.559
"m22s","CPUE + SST_Jordan_May",17.048,12.729,22.832
"m23s","CPUE + SST_Jordan_AMJJ",21.095,14.356,30.999
