"model","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV","MAPE_one_step_ahead"
"m1s",0.693,24.16,0.378,0.162,0.106,0.195
"m2s",0.847,11.48,0.249,0.126,0.074,0.137
"m3s",0.85,11.1,0.245,0.124,0.073,0.136
"m4s",0.844,11.94,0.249,0.121,0.073,0.142
"m5s",0.841,12.33,0.249,0.121,0.073,0.15
"m6s",0.82,14.96,0.276,0.115,0.083,0.148
"m7s",0.835,13.09,0.264,0.115,0.079,0.148
"m8s",0.844,11.87,0.252,0.109,0.075,0.14
"m9s",0.854,10.5,0.24,0.1,0.071,0.127
"m10s",0.85,11.15,0.246,0.124,0.073,0.133
"m11s",0.806,16.55,0.285,0.118,0.087,0.159
"m12s",0.821,14.77,0.286,0.095,0.083,0.116
"m13s",0.9,2.61,0.212,0.07,0.061,0.086
"m14s",0.837,12.89,0.274,0.074,0.077,0.088
"m15s",0.833,13.36,0.279,0.094,0.081,0.114
"m16s",0.92,-2.01,0.179,0.061,0.051,0.078
" m17s",0.843,12.05,0.265,0.074,0.076,0.082
"m18s",0.831,13.59,0.28,0.082,0.081,0.092
"m19s",0.904,1.64,0.203,0.066,0.059,0.102
"m20s",0.839,12.54,0.267,0.064,0.075,0.068
"m21s",0.824,14.44,0.287,0.101,0.083,0.123
"m22s",0.91,0.33,0.188,0.061,0.053,0.078
"m23s",0.837,12.91,0.274,0.08,0.078,0.092
"m24s",0.812,15.81,0.288,0.092,0.083,0.104
"m25s",0.875,7.26,0.239,0.082,0.069,0.105
"m26s",0.821,14.87,0.278,0.077,0.079,0.082
