"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m13",1998,1997,0.361,0.044,0.036,1.52,3.388
"m13",1999,1998,-0.439,0.301,0.67,-2.161,4.793
"m13",2000,1999,-0.229,0.101,0.037,-0.994,3.24
"m13",2001,2000,0.101,0.09,0.006,0.437,4.104
"m13",2002,2001,-0.156,0.117,0.021,-0.682,3.969
"m13",2003,2002,-0.159,0.195,0.043,-0.727,4.119
"m13",2004,2003,0.238,0.05,0.018,1.006,3.575
"m13",2005,2004,0.217,0.096,0.031,0.938,3.862
"m13",2006,2005,-0.245,0.15,0.07,-1.093,2.696
"m13",2007,2006,0.194,0.059,0.014,0.821,3.609
"m13",2008,2007,-0.169,0.115,0.024,-0.74,2.936
"m13",2009,2008,-0.029,0.099,0.001,-0.126,3.667
"m13",2010,2009,-0.247,0.052,0.02,-1.042,3.425
"m13",2011,2010,0.109,0.111,0.009,0.475,3.967
"m13",2012,2011,0.123,0.085,0.009,0.528,2.936
"m13",2013,2012,0.413,0.103,0.124,1.796,4.137
"m13",2014,2013,0.01,0.109,0,0.046,3.606
"m13",2015,2014,-0.16,0.107,0.019,-0.695,3.718
"m13",2016,2015,0.247,0.242,0.145,1.169,2.665
"m13",2017,2016,-0.092,0.252,0.022,-0.44,3.639
"m13",2018,2017,-0.137,0.217,0.037,-0.635,2.228
"m13",2019,2018,0.289,0.108,0.064,1.261,2.76
"m13",2020,2019,-0.243,0.195,0.1,-1.112,2.33
