"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m21",1998,1997,0.407,0.045,0.034,1.477,3.343
"m21",1999,1998,-0.394,0.3,0.399,-1.671,4.748
"m21",2000,1999,-0.302,0.127,0.064,-1.148,3.313
"m21",2001,2000,0.199,0.081,0.016,0.738,4.005
"m21",2002,2001,0.003,0.079,0,0.01,3.811
"m21",2003,2002,0.037,0.127,0.001,0.142,3.924
"m21",2004,2003,0.215,0.049,0.011,0.781,3.599
"m21",2005,2004,0.268,0.105,0.04,1.005,3.812
"m21",2006,2005,-0.35,0.125,0.084,-1.327,2.801
"m21",2007,2006,0.331,0.045,0.023,1.201,3.472
"m21",2008,2007,-0.208,0.122,0.029,-0.787,2.974
"m21",2009,2008,-0.201,0.183,0.046,-0.788,3.838
"m21",2010,2009,-0.26,0.054,0.017,-0.948,3.438
"m21",2011,2010,-0.123,0.111,0.009,-0.463,4.199
"m21",2012,2011,0.055,0.088,0.001,0.204,3.004
"m21",2013,2012,0.391,0.118,0.097,1.478,4.16
"m21",2014,2013,0.247,0.061,0.018,0.904,3.369
"m21",2015,2014,-0.42,0.083,0.073,-1.556,3.978
"m21",2016,2015,0.028,0.156,0.001,0.109,2.884
"m21",2017,2016,0.028,0.348,0.003,0.121,3.519
"m21",2018,2017,-0.217,0.207,0.065,-0.865,2.309
"m21",2019,2018,0.399,0.119,0.102,1.51,2.65
"m21",2020,2019,-0.133,0.266,0.037,-0.55,2.221
