"model","term","estimate","std.error","statistic","p.value"
"m2i","(Intercept)",5.50006069,1.678,3.277,0.004
"m2i","CPUE",0.10341465,0.55,0.188,0.853
"m2i","ISTI3_May",-0.40282923,0.204,-1.972,0.063
"m2i","CPUE:ISTI3_May",0.04303037,0.066,0.65,0.523
"m3i","(Intercept)",5.34760733,1.787,2.992,0.007
"m3i","CPUE",0.27013087,0.598,0.452,0.656
"m3i","ISTI10_May",-0.4017039,0.226,-1.777,0.092
"m3i","CPUE:ISTI10_May",0.02443286,0.075,0.327,0.747
"m4i","(Intercept)",5.0806682,1.871,2.715,0.014
"m4i","CPUE",0.44991762,0.633,0.711,0.486
"m4i","ISTI15_May",-0.38234242,0.244,-1.565,0.134
"m4i","CPUE:ISTI15_May",0.00219365,0.081,0.027,0.979
"m5i","(Intercept)",4.79605543,1.886,2.543,0.02
"m5i","CPUE",0.61490772,0.643,0.956,0.351
"m5i","ISTI20_May",-0.35740782,0.253,-1.414,0.174
"m5i","CPUE:ISTI20_May",-0.01931464,0.085,-0.227,0.823
"m6i","(Intercept)",1.95915832,2.592,0.756,0.459
"m6i","CPUE",2.41439355,1.084,2.227,0.038
"m6i","ISTI3_MJJ",0.01655851,0.243,0.068,0.946
"m6i","CPUE:ISTI3_MJJ",-0.17889051,0.101,-1.78,0.091
"m7i","(Intercept)",2.22330057,2.37,0.938,0.36
"m7i","CPUE",2.43772363,0.939,2.596,0.018
"m7i","ISTI10_MJJ",-0.01140029,0.236,-0.048,0.962
"m7i","CPUE:ISTI10_MJJ",-0.19089281,0.092,-2.071,0.052
"m8i","(Intercept)",3.14741794,2.31,1.363,0.189
"m8i","CPUE",2.04060486,0.86,2.373,0.028
"m8i","ISTI15_MJJ",-0.10991136,0.242,-0.454,0.655
"m8i","CPUE:ISTI15_MJJ",-0.1599028,0.089,-1.796,0.088
"m9i","(Intercept)",3.98887637,2.279,1.75,0.096
"m9i","CPUE",1.70406303,0.819,2.081,0.051
" m9i","ISTI20_MJJ",-0.2082355,0.25,-0.833,0.415
"m9i","CPUE:ISTI20_MJJ",-0.13043056,0.089,-1.471,0.158
"m10i","(Intercept)",5.47298324,1.743,3.139,0.005
"m10i","CPUE",0.1891072,0.577,0.328,0.747
"m10i","IS3_May",-0.40330293,0.214,-1.884,0.075
"m10i","CPUE:IS3_May",0.03229782,0.07,0.46,0.65
"m11i","(Intercept)",2.45272403,2.679,0.916,0.371
"m11i","CPUE",2.08692305,1.161,1.797,0.088
"m11i","IS3_MJJ",-0.02508732,0.254,-0.099,0.922
"m11i","CPUE:IS3_MJJ",-0.15162228,0.109,-1.391,0.18
"m12i","(Intercept)",5.18051612,3.35,1.546,0.139
"m12i","CPUE",1.12064973,1.172,0.956,0.351
" m12i","Chatham_Strait_SST_MJJ",-0.30641315,0.34,-0.9,0.379
"m12i","CPUE:Chatham_Strait_SST_MJJ",-0.06543951,0.118,-0.553,0.586
"m13i","(Intercept)",4.49201965,1.991,2.257,0.036
"m13i","CPUE",1.01896223,0.708,1.439,0.166
"m13i","Chatham_Strait_SST_May",-0.31413019,0.256,-1.225,0.235
"m13i","CPUE:Chatham_Strait_SST_May",-0.06593781,0.09,-0.734,0.472
"m14i","(Intercept)",6.02463716,2.972,2.027,0.057
"m14i","CPUE",0.81463994,1.022,0.797,0.435
"m14i","Chatham_Strait_SST_AMJJ",-0.44221987,0.337,-1.313,0.205
"m14i","CPUE:Chatham_Strait_SST_AMJJ",-0.03758712,0.115,-0.328,0.747
"m15i","(Intercept)",5.88403742,2.742,2.146,0.045
"m15i","CPUE",0.71995184,0.916,0.786,0.441
"m15i","Icy_Strait_SST_MJJ",-0.36146113,0.268,-1.349,0.193
"m15i","CPUE:Icy_Strait_SST_MJJ",-0.02375389,0.089,-0.268,0.792
"m16i","(Intercept)",4.91930918,1.621,3.035,0.007
"m16i","CPUE",0.71363941,0.57,1.253,0.226
"m16i","Icy_Strait_SST_May",-0.38699005,0.22,-1.761,0.094
