"region","year","SST_MJJ","SST_May"
"NSEAK",1997,10.03,7.43
"NSEAK",1998,9.92,7.78
"NSEAK",1999,8.94,6.8
"NSEAK",2000,9.69,7.3
"NSEAK",2001,9.19,6.73
"NSEAK",2002,9.07,6.5
"NSEAK",2003,9.87,7.64
"NSEAK",2004,10.4,7.98
"NSEAK",2005,10.61,8.43
"NSEAK",2006,9.72,7.1
"NSEAK",2007,9.52,7.04
"NSEAK",2008,8.72,6.76
"NSEAK",2009,9.79,7.37
"NSEAK",2010,9.67,7.83
"NSEAK",2011,9.66,7.33
"NSEAK",2012,9.2,7.05
"NSEAK",2013,9.76,6.79
"NSEAK",2014,10.04,8.23
"NSEAK",2015,10.83,9.05
"NSEAK",2016,11.21,9.04
"NSEAK",2017,9.87,7.84
"NSEAK",2018,10.19,7.7
"NSEAK",2019,10.94,8.56
"NSEAK",2020,10.27,8.42
