"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m18",1998,1997,0.324,0.045,0.031,1.388,3.425
"m18",1999,1998,-0.456,0.302,0.749,-2.282,4.81
"m18",2000,1999,-0.293,0.115,0.074,-1.302,3.303
"m18",2001,2000,0.116,0.088,0.008,0.506,4.089
"m18",2002,2001,-0.126,0.107,0.012,-0.556,3.939
"m18",2003,2002,-0.064,0.15,0.005,-0.291,4.025
"m18",2004,2003,0.2,0.049,0.013,0.859,3.613
"m18",2005,2004,0.218,0.096,0.033,0.958,3.861
"m18",2006,2005,-0.259,0.143,0.077,-1.171,2.71
"m18",2007,2006,0.157,0.065,0.011,0.68,3.645
"m18",2008,2007,-0.234,0.124,0.052,-1.047,3.001
"m18",2009,2008,-0.046,0.103,0.002,-0.204,3.684
"m18",2010,2009,-0.191,0.048,0.011,-0.818,3.369
"m18",2011,2010,0.052,0.107,0.002,0.23,4.024
"m18",2012,2011,0.083,0.086,0.004,0.363,2.976
"m18",2013,2012,0.431,0.099,0.131,1.899,4.12
"m18",2014,2013,-0.003,0.112,0,-0.015,3.62
"m18",2015,2014,-0.141,0.11,0.016,-0.626,3.699
"m18",2016,2015,0.237,0.233,0.13,1.132,2.675
"m18",2017,2016,-0.05,0.27,0.007,-0.244,3.597
"m18",2018,2017,-0.111,0.221,0.026,-0.525,2.203
"m18",2019,2018,0.343,0.111,0.096,1.519,2.707
"m18",2020,2019,-0.186,0.216,0.071,-0.88,2.274
