"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m22",1998,1997,0.329,0.045,0.027,1.305,3.421
"m22",1999,1998,-0.602,0.318,1.248,-2.832,4.957
"m22",2000,1999,-0.411,0.157,0.187,-1.739,3.422
"m22",2001,2000,0.112,0.09,0.007,0.455,4.093
"m22",2002,2001,-0.105,0.105,0.007,-0.43,3.918
"m22",2003,2002,0.009,0.128,0,0.039,3.952
"m22",2004,2003,0.208,0.049,0.012,0.828,3.605
"m22",2005,2004,0.179,0.093,0.018,0.731,3.9
"m22",2006,2005,-0.086,0.234,0.015,-0.383,2.537
"m22",2007,2006,0.214,0.056,0.015,0.856,3.588
"m22",2008,2007,-0.22,0.122,0.039,-0.911,2.986
"m22",2009,2008,-0.02,0.1,0,-0.083,3.658
"m22",2010,2009,-0.073,0.048,0.001,-0.289,3.251
"m22",2011,2010,0.117,0.112,0.01,0.484,3.958
"m22",2012,2011,0.041,0.089,0.001,0.168,3.017
"m22",2013,2012,0.507,0.085,0.131,2.057,4.044
"m22",2014,2013,0.075,0.093,0.003,0.304,3.542
"m22",2015,2014,-0.163,0.108,0.018,-0.671,3.722
"m22",2016,2015,0.093,0.172,0.011,0.398,2.819
"m22",2017,2016,-0.039,0.287,0.004,-0.181,3.586
"m22",2018,2017,-0.133,0.218,0.032,-0.584,2.225
"m22",2019,2018,0.256,0.107,0.044,1.051,2.793
"m22",2020,2019,-0.287,0.184,0.114,-1.233,2.375
