"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m10",1998,1997,0.358,0.044,0.036,1.52,3.392
"m10",1999,1998,-0.458,0.302,0.746,-2.277,4.812
"m10",2000,1999,-0.257,0.107,0.051,-1.131,3.268
"m10",2001,2000,0.106,0.09,0.007,0.463,4.098
"m10",2002,2001,-0.151,0.115,0.019,-0.665,3.964
"m10",2003,2002,-0.137,0.183,0.03,-0.63,4.098
"m10",2004,2003,0.233,0.05,0.017,0.993,3.58
"m10",2005,2004,0.198,0.094,0.026,0.863,3.882
"m10",2006,2005,-0.199,0.168,0.055,-0.906,2.65
"m10",2007,2006,0.201,0.057,0.015,0.859,3.602
"m10",2008,2007,-0.182,0.116,0.028,-0.805,2.949
"m10",2009,2008,-0.034,0.1,0.001,-0.15,3.672
"m10",2010,2009,-0.231,0.05,0.017,-0.985,3.409
"m10",2011,2010,0.103,0.111,0.009,0.455,3.973
"m10",2012,2011,0.101,0.086,0.006,0.437,2.958
"m10",2013,2012,0.422,0.101,0.128,1.849,4.129
"m10",2014,2013,0.021,0.105,0,0.093,3.595
"m10",2015,2014,-0.166,0.106,0.021,-0.728,3.724
"m10",2016,2015,0.235,0.233,0.126,1.115,2.677
"m10",2017,2016,-0.07,0.262,0.013,-0.337,3.616
"m10",2018,2017,-0.131,0.217,0.035,-0.617,2.223
"m10",2019,2018,0.28,0.108,0.061,1.234,2.769
"m10",2020,2019,-0.242,0.195,0.101,-1.12,2.33
