"model","year","juvenile_year","resid","hat_values","Cooks_distance","std_resid","fitted"
"m14",1998,1997,0.304,0.046,0.025,1.249,3.445
"m14",1999,1998,-0.585,0.315,1.229,-2.833,4.939
"m14",2000,1999,-0.381,0.143,0.152,-1.652,3.392
"m14",2001,2000,0.105,0.09,0.006,0.443,4.099
"m14",2002,2001,-0.096,0.1,0.006,-0.407,3.91
"m14",2003,2002,-0.012,0.133,0,-0.051,3.973
"m14",2004,2003,0.189,0.049,0.01,0.777,3.624
"m14",2005,2004,0.14,0.09,0.011,0.587,3.94
"m14",2006,2005,-0.086,0.228,0.015,-0.392,2.537
"m14",2007,2006,0.224,0.055,0.016,0.924,3.578
"m14",2008,2007,-0.214,0.121,0.038,-0.915,2.98
"m14",2009,2008,-0.01,0.095,0,-0.04,3.647
"m14",2010,2009,-0.103,0.047,0.003,-0.424,3.281
"m14",2011,2010,0.114,0.112,0.01,0.485,3.962
"m14",2012,2011,0.054,0.088,0.002,0.227,3.005
"m14",2013,2012,0.512,0.083,0.139,2.145,4.038
"m14",2014,2013,0.035,0.103,0.001,0.148,3.581
"m14",2015,2014,-0.158,0.108,0.018,-0.67,3.716
"m14",2016,2015,0.129,0.184,0.025,0.574,2.783
"m14",2017,2016,-0.006,0.299,0,-0.029,3.553
"m14",2018,2017,-0.129,0.218,0.032,-0.585,2.221
"m14",2019,2018,0.247,0.107,0.044,1.05,2.802
"m14",2020,2019,-0.274,0.186,0.113,-1.217,2.362
