"model","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV","MAPE_one_step_ahead"
"m1",0.627,30.21,0.399,0.184,0.116,0.176
"m2",0.79,18.77,0.284,0.134,0.087,0.143
"m3",0.803,17.28,0.276,0.128,0.084,0.139
"m4",0.81,16.52,0.278,0.119,0.084,0.132
"m5",0.816,15.74,0.274,0.111,0.082,0.123
"m6",0.763,21.57,0.308,0.13,0.094,0.138
"m7",0.797,17.99,0.286,0.119,0.087,0.127
"m8",0.821,15.08,0.263,0.105,0.079,0.114
"m9",0.838,12.85,0.246,0.092,0.073,0.102
"m10",0.805,17.09,0.269,0.127,0.083,0.138
"m11",0.741,23.63,0.321,0.138,0.099,0.145
"m12",0.796,18.17,0.298,0.092,0.088,0.113
"m13",0.873,7.2,0.238,0.077,0.07,0.091
"m14",0.824,14.8,0.277,0.072,0.08,0.084
"m15",0.8,17.64,0.294,0.09,0.087,0.107
"m16",0.868,8.11,0.212,0.066,0.062,0.072
" m17",0.819,15.36,0.282,0.077,0.083,0.091
"m18",0.813,16.18,0.286,0.078,0.084,0.094
"m19",0.877,6.47,0.224,0.07,0.066,0.089
"m20",0.83,14,0.27,0.063,0.078,0.073
"m21",0.79,18.75,0.306,0.097,0.091,0.113
"m22",0.858,9.88,0.221,0.066,0.065,0.072
"m23",0.812,16.27,0.29,0.08,0.085,0.094
