"model","term","estimate","std.error","statistic","p.value"
"m1","(Intercept)",2.33420515,0.211,11.069,0
"m1","CPUE",0.4306816,0.073,5.907,0
"m2","(Intercept)",7.26318929,0.979,7.415,0
"m2","CPUE",0.49341774,0.051,9.591,0
"m2","ISTI20_MJJ",-0.56196332,0.11,-5.088,0
"m3","(Intercept)",5.57566337,0.712,7.836,0
"m3","CPUE",0.48895625,0.054,9.091,0
"m3","Chatham_SST_May",-0.44895981,0.096,-4.662,0
"m4","(Intercept)",6.7117487,1.196,5.612,0
"m4","CPUE",0.4655961,0.059,7.912,0
"m4","Chatham_SST_MJJ",-0.45633968,0.123,-3.697,0.001
"m5","(Intercept)",6.31282927,0.856,7.373,0
"m5","CPUE",0.47966651,0.053,9.049,0
"m5","Chatham_SST_AMJ",-0.53516211,0.113,-4.72,0
"m6","(Intercept)",6.7967192,1.054,6.45,0
"m6","CPUE",0.47353122,0.055,8.543,0
" m6","Chatham_SST_AMJJ",-0.52504493,0.123,-4.283,0
"m7","(Intercept)",5.18663809,0.68,7.629,0
"m7","CPUE",0.50257044,0.057,8.841,0
"m7","Icy_Strait_SST_May",-0.42165348,0.098,-4.313,0
"m8","(Intercept)",6.2102662,1.132,5.488,0
"m8","CPUE",0.46903158,0.061,7.747,0
"m8","Icy_Strait_SST_MJJ",-0.39610202,0.114,-3.466,0.002
"m9","(Intercept)",5.87585164,0.879,6.685,0
"m9","CPUE",0.49022582,0.057,8.527,0
" m9","Icy_Strait_SST_AMJ",-0.49479885,0.121,-4.098,0.001
"m10","(Intercept)",6.2524467,1.036,6.037,0
"m10","CPUE",0.47959236,0.059,8.177,0
"m10","Icy_Strait_SST_AMJJ",-0.46242785,0.121,-3.832,0.001
"m11","(Intercept)",5.25226395,0.68,7.729,0
"m11","CPUE",0.46626535,0.054,8.576,0
"m11","NSEAK_SST_May",-0.4011202,0.091,-4.411,0
"m12","(Intercept)",6.49661343,1.106,5.872,0
"m12","CPUE",0.44871885,0.058,7.789,0
" m12","NSEAK_SST_MJJ",-0.42738263,0.112,-3.805,0.001
"m13","(Intercept)",6.02796029,0.835,7.217,0
"m13","CPUE",0.46206666,0.054,8.604,0
"m13","NSEAK_SST_AMJ",-0.4994394,0.111,-4.499,0
"m14","(Intercept)",6.50589491,1.016,6.401,0
"m14","CPUE",0.45823728,0.056,8.231,0
"m14","NSEAK_SST_AMJJ",-0.48929642,0.118,-4.156,0
"m15","(Intercept)",5.24649117,0.739,7.101,0
"m15","CPUE",0.4659144,0.057,8.224,0
" m15","SEAK_SST_May",-0.37093626,0.092,-4.04,0.001
"m16","(Intercept)",6.26740761,1.12,5.596,0
"m16","CPUE",0.44177936,0.059,7.481,0
"m16","SEAK_SST_MJJ",-0.38321284,0.108,-3.553,0.002
"m17","(Intercept)",5.99440795,0.883,6.787,0
"m17","CPUE",0.46103402,0.055,8.32,0
"m17","SEAK_SST_AMJ",-0.45985021,0.109,-4.213,0
"m18","(Intercept)",6.31945181,1.046,6.04,0
"m18","CPUE",0.45206262,0.057,7.881,0
" m18","SEAK_SST_AMJJ",-0.43925792,0.114,-3.857,0.001
