"region","year","SST_MJJ","SST_May"
"Icy_Strait",1997,10.43,7.17
"Icy_Strait",1998,10.15,7.4
"Icy_Strait",1999,9.3,6.33
"Icy_Strait",2000,10.08,7.1
"Icy_Strait",2001,9.67,6.54
"Icy_Strait",2002,9.44,6.31
"Icy_Strait",2003,10.2,7.42
"Icy_Strait",2004,10.87,7.75
"Icy_Strait",2005,11.3,8.58
"Icy_Strait",2006,10.36,6.9
"Icy_Strait",2007,9.62,6.73
"Icy_Strait",2008,9.01,6.5
"Icy_Strait",2009,10.31,7.45
"Icy_Strait",2010,10.13,7.93
"Icy_Strait",2011,10.08,7.02
"Icy_Strait",2012,9.4,7.01
"Icy_Strait",2013,10.12,6.41
"Icy_Strait",2014,10.45,8.14
"Icy_Strait",2015,10.97,8.54
"Icy_Strait",2016,11.84,8.96
"Icy_Strait",2017,10.03,7.42
"Icy_Strait",2018,10.3,7.09
"Icy_Strait",2019,11.1,8
"Icy_Strait",2020,10.73,8.19
