"model","terms","fit","fit_LPI","fit_UPI"
"m1","CPUE",16.491,9.04,30.083
"m2","CPUE + ISTI20_MJJ",15.561,10.302,23.503
"m3","CPUE + Chatham_SST_May",16.377,10.632,25.228
"m4","CPUE + Chatham_SST_MJJ",13.286,8.188,21.558
"m5","CPUE + Chatham_SST_AMJ",14.82,9.645,22.772
"m6","CPUE + Chatham_SST_AMJJ",13.324,8.468,20.966
"m7","CPUE + Icy_Strait_SST_May",15.861,10.126,24.844
"m8","CPUE + Icy_Strait_SST_MJJ",13.705,8.354,22.483
"m9","CPUE + Icy_Strait_SST_AMJ",14.325,9.039,22.703
"m10","CPUE + Icy_Strait_SST_AMJJ",13.579,8.437,21.854
"m11","CPUE + NSEAK_SST_May",16.214,10.401,25.277
"m12","CPUE + NSEAK_SST_MJJ",13.12,8.128,21.177
"m13","CPUE + NSEAK_SST_AMJ",14.303,9.205,22.222
"m14","CPUE + NSEAK_SST_AMJJ",13.137,8.29,20.818
"m15","CPUE + SEAK_SST_May",15.671,9.871,24.88
"m16","CPUE + SEAK_SST_MJJ",13.035,7.963,21.337
" m17","CPUE + SEAK_SST_AMJ",13.853,8.784,21.848
"m18","CPUE + SEAK_SST_AMJJ",12.978,8.058,20.901
