"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",1.376,0.98,1.404,0.177
"m1","as.factor(odd_even_factor)odd",0.382,0.237,1.613,0.123
"m1","as.factor(vessel)Medeia",2.809,1.711,1.642,0.117
"m1","as.factor(vessel)NW Explorer",-0.152,1.074,-0.142,0.889
"m1","adj_raw_pink_log",0.366,0.181,2.018,0.058
"m1","as.factor(vessel)Medeia:adj_raw_pink_log",-0.667,0.357,-1.868,0.077
"m1","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.081,0.177,-0.455,0.654
"m2","(Intercept)",4.283,1.835,2.334,0.031
"m2","as.factor(odd_even_factor)odd",0.223,0.24,0.932,0.364
"m2","as.factor(vessel)Medeia",2.676,1.615,1.657,0.115
"m2","as.factor(vessel)NW Explorer",-0.356,1.019,-0.35,0.731
"m2","ISTI20_JJ",-0.321,0.175,-1.834,0.083
"m2","adj_raw_pink_log",0.436,0.175,2.489,0.023
"m2","as.factor(vessel)Medeia:adj_raw_pink_log",-0.616,0.338,-1.823,0.085
"m2","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.072,0.167,-0.429,0.673
"m3","(Intercept)",3.394,1.245,2.726,0.014
"m3","as.factor(odd_even_factor)odd",0.38,0.214,1.776,0.093
"m3","as.factor(vessel)Medeia",2.67,1.546,1.727,0.101
"m3","as.factor(vessel)NW Explorer",0.032,0.973,0.033,0.974
"m3","Chatham_SST_May",-0.3,0.13,-2.304,0.033
"m3","adj_raw_pink_log",0.4,0.164,2.434,0.026
"m3","as.factor(vessel)Medeia:adj_raw_pink_log",-0.6,0.324,-1.853,0.08
"m3","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.093,0.16,-0.581,0.568
"m4","(Intercept)",3.894,1.764,2.207,0.041
"m4","as.factor(odd_even_factor)odd",0.348,0.227,1.531,0.143
"m4","as.factor(vessel)Medeia",2.711,1.635,1.658,0.115
"m4","as.factor(vessel)NW Explorer",0.063,1.034,0.061,0.952
"m4","Chatham_SST_MJJ",-0.284,0.168,-1.684,0.109
"m4","adj_raw_pink_log",0.411,0.175,2.345,0.031
"m4","as.factor(vessel)Medeia:adj_raw_pink_log",-0.608,0.343,-1.775,0.093
"m4","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.112,0.17,-0.656,0.52
"m5","(Intercept)",4.029,1.4,2.877,0.01
"m5","as.factor(odd_even_factor)odd",0.359,0.212,1.695,0.107
"m5","as.factor(vessel)Medeia",2.506,1.531,1.636,0.119
"m5","as.factor(vessel)NW Explorer",0.098,0.964,0.102,0.92
