"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.52,0.09,0.05,1.51,26.86
1999,77.82,-0.27,0.29,0.08,-0.87,108.35
2000,20.25,-0.11,0.1,0,-0.32,24.1
2001,67.02,0.15,0.09,0,0.45,61.33
2002,45.32,0.38,0.12,0.04,1.12,33.04
2003,52.47,-0.02,0.14,0,-0.05,56.98
2004,45.31,0.34,0.13,0.04,0.99,34.6
2005,59.12,0.1,0.11,0,0.3,56.93
2006,11.61,-0.29,0.23,0.06,-0.9,16.49
2007,44.8,0.14,0.08,0,0.41,41.46
2008,15.91,-0.09,0.09,0,-0.27,18.66
2009,38.02,-0.29,0.21,0.05,-0.89,54.04
2010,24.14,-0.06,0.08,0,-0.18,27.48
2011,58.88,-0.18,0.12,0.01,-0.52,75
2012,21.28,0.03,0.09,0,0.09,22.06
2013,94.72,0.39,0.12,0.05,1.15,68.46
2014,37.17,0.41,0.08,0.03,1.17,26.42
2015,35.09,-0.56,0.09,0.07,-1.61,65.32
2016,18.37,-0.19,0.11,0.01,-0.56,23.77
2017,34.73,-0.37,0.24,0.1,-1.16,53.55
2018,8.07,-0.77,0.23,0.44,-2.44,18.69
2019,21.14,-0.17,0.2,0.02,-0.53,26.8
2020,8.06,-0.39,0.24,0.12,-1.22,12.66
2021,48.53,0.34,0.1,0.03,0.98,37.05
2022,18.3,0.1,0.1,0,0.3,17.61
2023,47.84,0.74,0.21,0.37,2.32,24.27
2024,20.12,0.12,0.09,0,0.36,18.98
2025,22,-0.03,0.23,0,-0.1,24.23
