"Terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"ISTI20_JJ","m2a",22.5,13.6,37.2,0.68,31,27.6
"Chatham_SST_AMJ","m5a",19,12.5,29,0.77,22,30.3
"NSEAK_SST_AMJ","m13a",19.3,12.6,29.7,0.76,22.9,30.7
"Icy_Strait_SST_AMJ","m9a",20,13,30.8,0.76,22.9,31.9
"SEAK_SST_AMJ","m17a",18.4,11.8,28.6,0.75,24.5,32.2
"NSEAK_SST_May","m11a",19,12.5,28.9,0.77,21.7,32.8
"Chatham_SST_May","m3a",18.4,12.1,27.9,0.78,21.1,33.2
"NSEAK_SST_AMJJ","m14a",20.1,12.6,31.9,0.72,27.2,34.1
"SEAK_SST_May","m15a",18.8,12.2,29,0.76,23.6,34.2
"Icy_Strait_SST_AMJJ","m10a",21.5,13.5,34.3,0.72,27.2,34.7
"Icy_Strait_SST_May","m7a",18.5,12.1,28.2,0.77,22,34.8
"Chatham_SST_AMJJ","m6a",20,12.6,31.7,0.73,26.8,34.9
"SEAK_SST_AMJJ","m18a",19,11.9,30.4,0.72,28,35.3
"NSEAK_SST_MJJ","m12a",21.1,12.9,34.4,0.7,29.9,38.1
"SEAK_SST_MJJ","m16a",20,12.2,32.7,0.69,30.3,39
"Icy_Strait_SST_MJJ","m8a",22.7,13.8,37.3,0.7,30,39.6
"Chatham_SST_MJJ","m4a",21.1,12.9,34.5,0.69,30.3,40.5
"no temperature index included","m1a",19.2,11.1,33.3,0.62,34.7,45.4
"Icy_Strait_SST_May","m7",17.9,9.6,33.3,0.67,43.7,53.5
"Chatham_SST_May","m3",18,9.7,33.6,0.67,43.4,56.3
"NSEAK_SST_May","m11",19.1,10.2,35.7,0.67,43.4,56.9
"NSEAK_SST_AMJ","m13",20.6,11,38.5,0.68,42.8,58.3
"ISTI20_JJ","m2",21.9,11,43.5,0.64,45.6,58.6
"Icy_Strait_SST_AMJ","m9",20.2,10.7,38,0.67,43.4,58.7
"Chatham_SST_AMJ","m5",19.2,10.4,35.7,0.68,42.7,58.8
"SEAK_SST_May","m15",18.9,10.1,35.7,0.67,43.9,60
"NSEAK_SST_AMJJ","m14",21.6,11.2,41.8,0.66,44.3,60.2
"Chatham_SST_AMJJ","m6",20.2,10.6,38.7,0.66,44.4,60.6
"no temperature index included","m1",15.9,8,31.3,0.6,45.3,61.1
"SEAK_SST_AMJ","m17",19.8,10.6,37.1,0.67,43.2,61.1
"SEAK_SST_AMJJ","m18",20.6,10.8,39.4,0.66,44.2,61.1
"Icy_Strait_SST_AMJJ","m10",21.6,11.1,42,0.65,44.9,61.8
"SEAK_SST_MJJ","m16",20.9,10.7,41.1,0.64,45.6,64
"Chatham_SST_MJJ","m4",20.2,10.2,39.8,0.63,46.3,64.2
"NSEAK_SST_MJJ","m12",21.8,10.9,43.5,0.64,45.9,64.3
"Icy_Strait_SST_MJJ","m8",21.5,10.7,43,0.63,46.3,65.3
