"terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","MAPE","MAPE5"
"vessel : adj_raw_pink_log + Chatham_SST_AMJ + odd_factor: adj_raw_pink_log","m23",22.857,12.318,42.413,0.62,0.0964880233259661,107.141
"vessel : adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor: adj_raw_pink_log","m24",25.631,13.627,48.213,0.599,0.0993501231038579,112.757
"vessel : adj_raw_pink_log + Chatham_SST_May + odd_factor: adj_raw_pink_log","m21",24.626,13.141,46.15,0.604,0.0985704647162418,105.668
"vessel : adj_raw_pink_log + Chatham_SST_MJJ + odd_factor: adj_raw_pink_log","m22",28.171,14.603,54.346,0.568,0.100997998471237,122.215
"vessel : adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor: adj_raw_pink_log","m27",24.139,12.984,44.875,0.615,0.0960147823766284,106.233
"vessel : adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor: adj_raw_pink_log","m28",25.938,13.761,48.89,0.596,0.0982160421204563,110.955
"vessel : adj_raw_pink_log + Icy_Strait_SST_May + odd_factor: adj_raw_pink_log","m25",24.656,13.115,46.352,0.6,0.0976600225070888,101.08
"vessel : adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor: adj_raw_pink_log","m26",28.185,14.685,54.096,0.575,0.0995130997915289,116.107
"vessel : adj_raw_pink_log + ISTI20_MJJ + odd_factor : adj_raw_pink_log","m20",20.423,10.851,38.436,0.616,0.0946369361340419,120.236
"vessel : adj_raw_pink_log + NSEAK_SST_AMJJ + odd_factor: adj_raw_pink_log","m32",25.845,13.756,48.561,0.6,0.100410134116565,108.997
"vessel : adj_raw_pink_log + NSEAK_SST_May + odd_factor: adj_raw_pink_log","m29",25.196,13.517,46.966,0.61,0.0981804092353053,102.751
"vessel : adj_raw_pink_log + NSEAK_SST_MJJ + odd_factor: adj_raw_pink_log","m30",28.257,14.747,54.141,0.577,0.101761394385244,116.542
"vessel : adj_raw_pink_log + odd_factor : adj_raw_pink_log","m19",26.584,13.381,52.817,0.524,0.109496655875673,133.274
"vessel : adj_raw_pink_log + SEAK_SST_AMJ + odd_factor: adj_raw_pink_log","m35",23.829,12.743,44.558,0.609,0.0989678378902808,111.92
"vessel : adj_raw_pink_log + SEAK_SST_AMJJ + odd_factor: adj_raw_pink_log","m36",26.038,13.789,49.17,0.593,0.100509348726914,117.179
"vessel : adj_raw_pink_log + SEAK_SST_May + odd_factor: adj_raw_pink_log","m33",25.161,13.297,47.609,0.591,0.100746175739469,115.817
"vessel : adj_raw_pink_log + SEAK_SST_MJJ + odd_factor: adj_raw_pink_log","m34",28.398,14.764,54.623,0.573,0.101598714806565,124.645
"vessel : adj_raw_pink_log+  NSEAK_SST_AMJ + odd_factor: adj_raw_pink_log","m31",23.492,12.708,43.43,0.623,0.0974162146959028,101.959
"vessel x adj_raw_pink_log + Chatham_SST_AMJ + odd_factor x adj_raw_pink_log","m5",36.449,19.89,66.796,0.697,0.0713334756972424,119.269
"vessel x adj_raw_pink_log + Chatham_SST_AMJJ + odd_factor x adj_raw_pink_log","m6",40.765,22.116,75.139,0.684,0.0747062056566279,107.628
"vessel x adj_raw_pink_log + Chatham_SST_May + odd_factor x adj_raw_pink_log","m3",39.091,21.232,71.972,0.688,0.068419202353052,121.802
"vessel x adj_raw_pink_log + Chatham_SST_MJJ + odd_factor x adj_raw_pink_log","m4",45.958,24.635,85.736,0.672,0.0760924900835564,101.199
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJ + odd_factor x adj_raw_pink_log","m9",38.358,20.861,70.533,0.69,0.0735078524813789,111.831
"vessel x adj_raw_pink_log + Icy_Strait_SST_AMJJ + odd_factor x adj_raw_pink_log","m10",41.536,22.529,76.581,0.684,0.0746072072296499,100.724
"vessel x adj_raw_pink_log + Icy_Strait_SST_May + odd_factor x adj_raw_pink_log","m7",39.148,21.124,72.55,0.681,0.0696060860811444,106.954
"vessel x adj_raw_pink_log + Icy_Strait_SST_MJJ + odd_factor x adj_raw_pink_log","m8",46.074,24.782,85.661,0.676,0.0755540261121206,92.635
"vessel x adj_raw_pink_log + ISTI20_MJJ + odd_factor x adj_raw_pink_log","m2",32.994,17.98,60.544,0.705,0.0709996002417763,129.923
"vessel x adj_raw_pink_log + NSEAK_SST_AMJJ + odd_factor x adj_raw_pink_log","m14",41.003,22.3,75.391,0.687,0.0740731389894568,101.768
"vessel x adj_raw_pink_log + NSEAK_SST_May + odd_factor x adj_raw_pink_log","m11",39.809,21.723,72.951,0.691,0.0676919433278852,112.421
"vessel x adj_raw_pink_log + NSEAK_SST_MJJ + odd_factor x adj_raw_pink_log","m12",46.052,24.908,85.144,0.682,0.0742559875506505,93.542
"vessel x adj_raw_pink_log + odd_factor x adj_raw_pink_log","m1",43.691,22.4,85.221,0.62,0.0865325112976316,116.546
