"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.4,0.12,0.05,1.25,30.24
1999,77.82,-0.33,0.29,0.13,-1.14,114.25
2000,20.25,-0.33,0.1,0.03,-1.02,29.8
2001,67.02,0.04,0.11,0,0.12,68.35
2002,45.32,0.13,0.22,0.01,0.44,42.1
2003,52.47,-0.1,0.15,0,-0.31,61.23
2004,45.31,0.19,0.24,0.03,0.65,39.62
2005,59.12,0.16,0.11,0.01,0.49,53.58
2006,11.61,-0.16,0.25,0.02,-0.54,14.4
2007,44.8,0.16,0.07,0,0.48,40.54
2008,15.91,-0.15,0.08,0,-0.46,19.55
2009,38.02,-0.37,0.22,0.11,-1.23,58.35
2010,24.14,-0.05,0.1,0,-0.16,26.93
2011,58.88,0.07,0.12,0,0.21,58.32
2012,21.28,-0.16,0.09,0.01,-0.48,26.37
2013,94.72,0.31,0.13,0.04,0.99,73.4
2014,37.17,0.17,0.11,0.01,0.54,33.11
2015,35.09,-0.45,0.1,0.05,-1.39,58.27
2016,18.37,-0.24,0.13,0.02,-0.76,24.73
2017,34.73,-0.09,0.31,0.01,-0.32,40.26
2018,8.07,-0.65,0.19,0.26,-2.11,16.31
2019,21.14,0.15,0.14,0.01,0.48,19.25
2020,8.06,-0.26,0.25,0.07,-0.88,11.06
2021,48.53,0.51,0.08,0.05,1.57,30.81
2022,18.3,0.11,0.11,0,0.33,17.44
2023,47.84,0.88,0.12,0.26,2.75,21.11
2024,19.87,0.05,0.08,0,0.17,19.94
