"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.42,0.04,0.03,1.3,29.34
1999,77.82,-0.33,0.28,0.18,-1.18,114.64
2000,20.25,-0.31,0.08,0.03,-0.98,29.27
2001,67.02,0.03,0.1,0,0.1,68.7
2002,45.32,0.17,0.04,0,0.53,40.28
2003,52.47,-0.1,0.15,0.01,-0.33,61.36
2004,45.31,0.23,0.05,0.01,0.72,37.87
2005,59.12,0.14,0.09,0.01,0.44,54.26
2006,11.61,-0.16,0.25,0.03,-0.54,14.33
2007,44.8,0.14,0.05,0,0.44,41.01
2008,15.91,-0.15,0.08,0.01,-0.47,19.53
2009,38.02,-0.37,0.22,0.15,-1.27,58.37
2010,24.14,-0.03,0.05,0,-0.09,26.26
2011,58.88,0.05,0.11,0,0.17,59
2012,21.28,-0.15,0.07,0.01,-0.46,26.04
2013,94.72,0.31,0.13,0.05,0.99,73.55
2014,37.17,0.2,0.04,0.01,0.61,32.19
2015,35.09,-0.46,0.08,0.06,-1.45,58.84
2016,18.37,-0.22,0.08,0.01,-0.68,24.13
2017,34.73,-0.12,0.25,0.02,-0.4,41.19
2018,8.07,-0.66,0.16,0.29,-2.17,16.55
2019,21.14,0.13,0.08,0,0.4,19.68
2020,8.06,-0.28,0.22,0.09,-0.94,11.22
2021,48.53,0.49,0.04,0.03,1.51,31.31
2022,18.3,0.1,0.1,0,0.31,17.54
2023,47.84,0.85,0.06,0.16,2.64,21.58
2024,19.87,0.05,0.08,0,0.17,19.9
