"terms","Model","Fit","Fit_LPI","Fit_UPI","AdjR2","AICc","MAPE5"
"NSEAK_SST_May","m11d",28.872,15.744,52.945,0.646,39.2381608139156,101.305
"Icy_Strait_SST_May","m7d",28.24,15.216,52.412,0.632,40.1617488826623,101.942
"NSEAK_SST_AMJ","m13d",26.801,14.728,48.773,0.657,38.421851441109,102.573
"Icy_Strait_SST_AMJ","m9d",27.622,15.11,50.497,0.651,38.8902921184369,106.62
"NSEAK_SST_AMJJ","m14d",29.545,16.001,54.556,0.637,39.8239951820731,107.2
"Chatham_SST_May","m3d",28.027,15.158,51.82,0.637,39.8412857309503,107.38
"Icy_Strait_SST_AMJJ","m10d",29.723,16.065,54.99,0.635,39.984472703259,108.792
"Chatham_SST_AMJ","m5d",26.053,14.247,47.641,0.653,38.6877953272955,109.687
"SEAK_SST_AMJ","m17d",27.176,14.799,49.904,0.646,39.1971311638616,111.52
"Icy_Strait_SST_MJJ","m8d",32.481,17.267,61.099,0.618,41.1536765590745,112.711
"NSEAK_SST_MJJ","m12d",32.481,17.275,61.073,0.618,41.1200297978489,113.291
"Chatham_SST_AMJJ","m6d",29.103,15.685,53.998,0.632,40.1989618493109,113.323
"SEAK_SST_AMJJ","m18d",29.739,16.023,55.196,0.631,40.2441097406931,114.618
"SEAK_SST_May","m15d",28.861,15.536,53.613,0.631,40.2824013174973,114.944
"Chatham_SST_MJJ","m4d",32.262,16.995,61.247,0.606,41.8909694589827,120.243
"SEAK_SST_MJJ","m16d",32.64,17.275,61.671,0.613,41.4758654201702,120.676
"no temp","m1d",30.467,15.503,59.872,0.558,42.1139673485293,131.599
"ISTI20_MJJ","m2d",23.004,12.23,43.269,0.637,39.84091706814,133.84
