"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values","vessel"
1998,42.45,0.51,0.12,0.04,1.35,27.7,"Cobb"
1999,77.82,0.14,0.21,0.01,0.39,73.45,"Cobb"
2000,20.25,-0.37,0.14,0.03,-0.98,31.66,"Cobb"
2001,67.02,0.05,0.15,0,0.13,69.16,"Cobb"
2002,45.32,0.31,0.17,0.02,0.85,35.98,"Cobb"
2003,52.47,-0.39,0.23,0.06,-1.11,84.21,"Cobb"
2004,45.31,0.65,0.13,0.08,1.73,25.7,"Cobb"
2005,59.12,0.03,0.21,0,0.07,62.45,"Cobb"
2006,11.61,-0.38,0.26,0.07,-1.09,18.4,"Cobb"
2007,44.8,-0.37,0.16,0.03,-1.01,70.51,"Cobb"
2008,15.91,-0.24,0.19,0.02,-0.66,21.87,"Cobb"
2011,58.88,-0.16,0.31,0.02,-0.47,74.76,"NW Explorer"
2012,21.28,0.02,0.17,0,0.04,22.73,"NW Explorer"
2013,94.72,0.24,0.3,0.04,0.72,80.44,"NW Explorer"
2014,37.17,0.15,0.31,0.01,0.43,34.87,"NW Explorer"
2015,35.09,-0.2,0.19,0.01,-0.55,46.44,"NW Explorer"
2016,18.37,0.2,0.31,0.03,0.59,16.37,"NW Explorer"
2017,34.73,-0.02,0.3,0,-0.06,38.41,"NW Explorer"
2018,8.07,-0.37,0.41,0.17,-1.19,12.65,"NW Explorer"
2019,21.14,-0.34,0.28,0.06,-0.99,32.15,"Medeia"
2020,8.06,-0.75,0.51,1.23,-2.65,18.47,"Medeia"
2021,48.53,0.61,0.26,0.18,1.76,28.63,"Medeia"
2022,18.3,-0.08,0.28,0,-0.23,21.46,"Medeia"
2023,47.84,0.41,0.24,0.07,1.17,34.46,"Medeia"
2024,20.12,0.35,0.17,0.03,0.96,15.35,"Medeia"
