Model,Term,Estimate,Standard Error,Statistic,p value
m1a,(Intercept),3.34959847,0.284,11.782,0
m1a,CPUE,0.16936903,0.083,2.033,0.054
m1a,as.factor(odd_even_factor)odd,-1.3131021,0.375,-3.505,0.002
m1a,CPUE:as.factor(odd_even_factor)odd,0.38418961,0.15,2.564,0.017
m2a,(Intercept),7.30860897,0.961,7.605,0
m2a,CPUE,0.28209806,0.069,4.108,0
m2a,as.factor(odd_even_factor)odd,-1.04934941,0.291,-3.603,0.002
m2a,ISTI20_MJJ,-0.48272306,0.114,-4.228,0
m2a,CPUE:as.factor(odd_even_factor)odd,0.37836393,0.114,3.324,0.003
m3a,(Intercept),5.92236181,0.634,9.346,0
m3a,CPUE,0.25304499,0.066,3.855,0.001
m3a,as.factor(odd_even_factor)odd,-1.08747856,0.287,-3.793,0.001
m3a,Chatham_SST_May,-0.37455987,0.087,-4.313,0
m3a,CPUE:as.factor(odd_even_factor)odd,0.30987549,0.114,2.716,0.013
m4a,(Intercept),6.38710188,1.103,5.792,0
m4a,CPUE,0.20454229,0.074,2.764,0.011
m4a,as.factor(odd_even_factor)odd,-1.20121114,0.33,-3.636,0.001
m4a,Chatham_SST_MJJ,-0.3218106,0.114,-2.828,0.01
m4a,CPUE:as.factor(odd_even_factor)odd,0.35967105,0.132,2.735,0.012
m5a,(Intercept),6.40181973,0.782,8.189,0
m5a,CPUE,0.25128655,0.067,3.726,0.001
m5a,as.factor(odd_even_factor)odd,-1.06063311,0.296,-3.584,0.002
m5a,Chatham_SST_AMJ,-0.43282927,0.106,-4.068,0.001
m5a,CPUE:as.factor(odd_even_factor)odd,0.31047938,0.117,2.65,0.015
m6a,(Intercept),6.51195666,0.994,6.554,0
m6a,CPUE,0.22683811,0.072,3.151,0.005
m6a,as.factor(odd_even_factor)odd,-1.11975321,0.319,-3.506,0.002
m6a,Chatham_SST_AMJJ,-0.38456417,0.117,-3.279,0.003
m6a,CPUE:as.factor(odd_even_factor)odd,0.33112272,0.127,2.615,0.016
m7a,(Intercept),5.71933307,0.592,9.669,0
m7a,CPUE,0.25485858,0.066,3.868,0.001
m7a,as.factor(odd_even_factor)odd,-1.14621242,0.285,-4.021,0.001
m7a,Icy_Strait_SST_May,-0.36295124,0.084,-4.298,0
m7a,CPUE:as.factor(odd_even_factor)odd,0.32465759,0.114,2.853,0.009
m8a,(Intercept),6.35695478,0.998,6.368,0
m8a,CPUE,0.20580298,0.072,2.859,0.009
m8a,as.factor(odd_even_factor)odd,-1.2514412,0.32,-3.911,0.001
m8a,Icy_Strait_SST_MJJ,-0.31075682,0.1,-3.105,0.005
m8a,CPUE:as.factor(odd_even_factor)odd,0.37660292,0.128,2.947,0.007
m9a,(Intercept),6.30293101,0.753,8.371,0
m9a,CPUE,0.24428975,0.067,3.663,0.001
m9a,as.factor(odd_even_factor)odd,-1.15272344,0.291,-3.961,0.001
m9a,Icy_Strait_SST_AMJ,-0.42483492,0.104,-4.099,0
m9a,CPUE:as.factor(odd_even_factor)odd,0.32696714,0.116,2.814,0.01
m10a,(Intercept),6.40582785,0.917,6.989,0
m10a,CPUE,0.22362614,0.07,3.176,0.004
m10a,as.factor(odd_even_factor)odd,-1.19550338,0.31,-3.851,0.001
m10a,Icy_Strait_SST_AMJJ,-0.36821688,0.107,-3.449,0.002
m10a,CPUE:as.factor(odd_even_factor)odd,0.35335962,0.124,2.855,0.009
m11a,(Intercept),5.73528476,0.599,9.568,0
m11a,CPUE,0.22422106,0.064,3.485,0.002
m11a,as.factor(odd_even_factor)odd,-1.13397922,0.287,-3.958,0.001
m11a,NSEAK_SST_May,-0.33973183,0.08,-4.264,0
m11a,CPUE:as.factor(odd_even_factor)odd,0.31555877,0.115,2.756,0.012
m12a,(Intercept),6.19072718,1.025,6.041,0
m12a,CPUE,0.18449692,0.073,2.529,0.019
m12a,as.factor(odd_even_factor)odd,-1.22421317,0.329,-3.726,0.001
m12a,NSEAK_SST_MJJ,-0.29292584,0.103,-2.858,0.009
m12a,CPUE:as.factor(odd_even_factor)odd,0.35592741,0.131,2.712,0.013
m13a,(Intercept),6.18766022,0.767,8.072,0
m13a,CPUE,0.2223088,0.067,3.313,0.003
m13a,as.factor(odd_even_factor)odd,-1.10457829,0.3,-3.679,0.001
m13a,NSEAK_SST_AMJ,-0.39741442,0.103,-3.872,0.001
m13a,CPUE:as.factor(odd_even_factor)odd,0.3086101,0.12,2.577,0.017
m14a,(Intercept),6.2788521,0.954,6.58,0
m14a,CPUE,0.20293267,0.071,2.844,0.009
m14a,as.factor(odd_even_factor)odd,-1.15971624,0.321,-3.614,0.002
m14a,NSEAK_SST_AMJJ,-0.34964343,0.11,-3.172,0.004
m14a,CPUE:as.factor(odd_even_factor)odd,0.33108442,0.128,2.586,0.017
m15a,(Intercept),5.74380033,0.65,8.837,0
m15a,CPUE,0.21815755,0.067,3.279,0.003
m15a,as.factor(odd_even_factor)odd,-1.15548947,0.297,-3.896,0.001
m15a,SEAK_SST_May,-0.31333765,0.08,-3.922,0.001
m15a,CPUE:as.factor(odd_even_factor)odd,0.32328073,0.119,2.727,0.012
m16a,(Intercept),6.05908583,1.026,5.905,0
m16a,CPUE,0.17677062,0.074,2.398,0.025
m16a,as.factor(odd_even_factor)odd,-1.2270212,0.333,-3.688,0.001
m16a,SEAK_SST_MJJ,-0.26374457,0.097,-2.723,0.012
m16a,CPUE:as.factor(odd_even_factor)odd,0.35168869,0.133,2.644,0.015
m17a,(Intercept),6.13315559,0.809,7.578,0
m17a,CPUE,0.21525702,0.069,3.126,0.005
m17a,as.factor(odd_even_factor)odd,-1.1258625,0.309,-3.648,0.001
m17a,SEAK_SST_AMJ,-0.35959641,0.1,-3.588,0.002
m17a,CPUE:as.factor(odd_even_factor)odd,0.31437015,0.123,2.551,0.018
m18a,(Intercept),6.15733965,0.972,6.336,0
m18a,CPUE,0.19386967,0.072,2.68,0.014
m18a,as.factor(odd_even_factor)odd,-1.17186464,0.327,-3.589,0.002
m18a,SEAK_SST_AMJJ,-0.31287003,0.105,-2.986,0.007
m18a,CPUE:as.factor(odd_even_factor)odd,0.32966918,0.131,2.525,0.019
m19a,(Intercept),2.59325328,0.224,11.553,0
m19a,CPUE:as.factor(odd_even_factor)even,0.37672458,0.071,5.295,0
m19a,CPUE:as.factor(odd_even_factor)odd,0.29261738,0.121,2.417,0.024
m20a,(Intercept),7.45453974,1.184,6.296,0
m20a,ISTI20_MJJ,-0.5708329,0.138,-4.15,0
m20a,CPUE:as.factor(odd_even_factor)even,0.46077754,0.059,7.867,0
m20a,CPUE:as.factor(odd_even_factor)odd,0.48101352,0.104,4.627,0
m21a,(Intercept),5.72948542,0.794,7.212,0
m21a,Chatham_SST_May,-0.43463834,0.107,-4.048,0
m21a,CPUE:as.factor(odd_even_factor)even,0.43247836,0.057,7.558,0
m21a,CPUE:as.factor(odd_even_factor)odd,0.35550864,0.096,3.711,0.001
m22a,(Intercept),6.1728719,1.363,4.53,0
m22a,Chatham_SST_MJJ,-0.37136585,0.14,-2.656,0.014
m22a,CPUE:as.factor(odd_even_factor)even,0.3969243,0.064,6.199,0
m22a,CPUE:as.factor(odd_even_factor)odd,0.33057186,0.109,3.029,0.006
m23a,(Intercept),6.38173971,0.962,6.632,0
m23a,Chatham_SST_AMJ,-0.51280514,0.128,-4.005,0.001
m23a,CPUE:as.factor(odd_even_factor)even,0.42654371,0.057,7.463,0
m23a,CPUE:as.factor(odd_even_factor)odd,0.36178243,0.096,3.749,0.001
m24a,(Intercept),6.51324185,1.213,5.369,0
m24a,Chatham_SST_AMJJ,-0.46048042,0.141,-3.272,0.003
m24a,CPUE:as.factor(odd_even_factor)even,0.40897897,0.061,6.722,0
m24a,CPUE:as.factor(odd_even_factor)odd,0.34389607,0.103,3.327,0.003
m25a,(Intercept),5.37337742,0.754,7.127,0
m25a,Icy_Strait_SST_May,-0.40920747,0.108,-3.797,0.001
m25a,CPUE:as.factor(odd_even_factor)even,0.44339665,0.06,7.436,0
m25a,CPUE:as.factor(odd_even_factor)odd,0.35927423,0.099,3.646,0.001
m26a,(Intercept),5.87394528,1.262,4.656,0
m26a,Icy_Strait_SST_MJJ,-0.33504436,0.127,-2.634,0.015
m26a,CPUE:as.factor(odd_even_factor)even,0.40550802,0.065,6.274,0
m26a,CPUE:as.factor(odd_even_factor)odd,0.33693023,0.11,3.071,0.005
m27a,(Intercept),6.03456265,0.96,6.286,0
m27a,Icy_Strait_SST_AMJ,-0.48001555,0.131,-3.651,0.001
m27a,CPUE:as.factor(odd_even_factor)even,0.43276121,0.06,7.234,0
m27a,CPUE:as.factor(odd_even_factor)odd,0.34862463,0.1,3.5,0.002
m28a,(Intercept),6.10031456,1.155,5.279,0
m28a,Icy_Strait_SST_AMJJ,-0.41337169,0.134,-3.078,0.005
m28a,CPUE:as.factor(odd_even_factor)even,0.41678766,0.063,6.665,0
m28a,CPUE:as.factor(odd_even_factor)odd,0.34515256,0.105,3.272,0.003
m29a,(Intercept),5.42084287,0.76,7.13,0
m29a,NSEAK_SST_May,-0.38596862,0.101,-3.827,0.001
