"Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values","JYear","Year","vessel","adj_raw_pink_log","ISTI20_MJJ","Chatham_SST_MJJ","Chatham_SST_May","Chatham_SST_AMJJ","Chatham_SST_AMJ","Icy_Strait_SST_MJJ","Icy_Strait_SST_May","Icy_Strait_SST_AMJJ","Icy_Strait_SST_AMJ","NSEAK_SST_MJJ","NSEAK_SST_May","NSEAK_SST_AMJJ","NSEAK_SST_AMJ","SEAK_SST_MJJ","SEAK_SST_May","SEAK_SST_AMJJ","SEAK_SST_AMJ","index","weight_values","odd_even_factor","SEAKCatch_log"
42.45,0.46,0.13,0.03,1.27,28.93,1997,1998,"Cobb",5.33271879326537,9.275319676,10.08,7.48,8.83,7.59,10.3,7.01,8.83,7.3,10.02,7.35,8.71,7.4,10.47,8,9.2,7.99,"pink_cal_pool",0.001,"odd",3.74829744235844
77.82,0.03,0.34,0,0.11,81.16,1998,1999,"Cobb",7.14124512235049,9.397513333,9.85,7.83,8.91,7.88,9.97,7.34,8.85,7.56,9.89,7.65,8.85,7.71,10.36,8.37,9.38,8.37,"pink_cal_pool",0.001,"even",4.35437411619335
20.25,-0.41,0.2,0.05,-1.19,32.93,1999,2000,"Cobb",5.04985600724954,8.55974875,8.9,6.84,8.05,7.12,9.08,6.17,8.02,6.78,8.93,6.7,7.98,6.95,9.3,7.23,8.4,7.43,"pink_cal_pool",0.001,"odd",3.00810427375793
67.02,0.08,0.16,0,0.21,67,2000,2001,"Cobb",6.38519439899773,8.770015222,9.7,7.34,8.62,7.52,9.94,7.02,8.67,7.35,9.7,7.23,8.57,7.39,10.02,7.71,8.95,7.86,"pink_cal_pool",0.001,"even",4.20504558694134
45.32,0.31,0.16,0.02,0.88,35.71,2001,2002,"Cobb",5.50125821054473,9.025532733,9.15,6.74,8.18,7.12,9.57,6.48,8.4,7.08,9.22,6.66,8.17,7.01,9.51,7.1,8.52,7.45,"pink_cal_pool",0.001,"odd",3.81364695263453
52.47,-0.28,0.22,0.02,-0.81,74.76,2002,2003,"Cobb",6.10924758276437,8.199539167,8.97,6.39,7.85,6.64,9.34,6.26,8.02,6.6,9.05,6.39,7.88,6.61,9.44,6.92,8.33,7.14,"pink_cal_pool",0.001,"even",3.96017934972858
45.31,0.61,0.15,0.06,1.69,26.61,2003,2004,"Cobb",5.31811999384422,9.307691013,9.92,7.71,8.9,7.85,10.08,7.29,8.88,7.53,9.86,7.57,8.76,7.6,10.32,8.17,9.25,8.16,"pink_cal_pool",0.001,"odd",3.81352210869619
59.12,-0.06,0.25,0,-0.19,67.91,2004,2005,"Cobb",6.80461452006262,9.333084187,10.43,7.94,9.22,7.96,10.68,7.53,9.25,7.69,10.38,7.89,9.09,7.79,10.98,8.58,9.74,8.51,"pink_cal_pool",0.001,"even",4.07959442855638
11.61,-0.35,0.4,0.11,-1.16,17.75,2005,2006,"Cobb",5.06259503302697,10.20637217,10.67,8.51,9.48,8.44,11.16,8.4,9.64,8.26,10.63,8.42,9.35,8.26,11.06,8.92,9.83,8.82,"pink_cal_pool",0.001,"odd",2.45156528600536
44.8,-0.29,0.16,0.02,-0.81,64.41,2006,2007,"Cobb",6.14418563412565,8.75081725,9.78,7.16,8.68,7.58,10.19,6.84,8.86,7.49,9.72,6.98,8.55,7.36,10.19,7.63,9.07,7.96,"pink_cal_pool",0.001,"even",3.8021277120796
15.91,-0.1,0.55,0.02,-0.38,18.96,2007,2008,"Cobb",3.85014760171006,8.936006202,9.52,7.04,8.41,7.27,9.49,6.55,8.16,6.87,9.44,6.9,8.24,7.03,9.99,7.51,8.82,7.64,"pink_cal_pool",0.001,"odd",2.76688020964154
