year,pink_cal_mixspecies,pink_cal_mixpool,pink_cal_species,pink_cal_pool
1997,2.477744394,2.477744394,2.477744394,2.477744394
1998,5.622379984,5.622379984,5.622379984,5.622379984
1999,1.597723341,1.597723341,1.597723341,1.597723341
2000,3.729984668,3.729984668,3.729984668,3.729984668
2001,2.868826043,2.868826043,2.868826043,2.868826043
2002,2.784664064,2.784664064,2.784664064,2.784664064
2003,3.077820362,3.077820362,3.077820362,3.077820362
2004,3.89940674,3.89940674,3.89940674,3.89940674
2005,2.040345363,2.040345363,2.040345363,2.040345363
2006,2.572780687,2.572780687,2.572780687,2.572780687
2007,1.167638593,1.167638593,1.167638593,1.167638593
2008,2.555110705,2.323473052,2.555110705,2.323473052
2009,2.094191733,2.094191733,2.205387755,2.333003071
2010,3.687781566,3.687781566,3.883592976,4.10831806
2011,1.305917687,1.305917687,1.375258449,1.454838125
2012,3.161036148,3.161036148,3.328878775,3.521505182
2013,1.923429282,1.923429282,2.02555827,2.142767709
2014,3.42661855,3.42661855,3.608562898,3.817373297
2015,2.201588239,2.201588239,2.318486729,2.452646547
2016,3.905705092,3.905705092,4.113087664,4.351092515
2017,0.310436039,0.310436039,0.326919369,0.34583664
2018,1.233765062,1.17155842,1.233765062,1.17155842
2019,1.202606515,1.141970892,1.202606515,1.141970892
2020,2.261528925,2.147502256,2.261528925,2.147502256
average,2.546209574,2.526688467,2.594919097,2.6313
