"year","juvenile_year","SEAKCatch","CPUE","ISTI","resid","hat_values","Cooks_distance","std_resid","fitted"
1998,1997,42.5,2.478,9.259,0.477,0.049,0.052,1.738,3.273
1999,1998,77.8,5.622,9.489,-0.388,0.3,0.388,-1.647,4.742
2000,1999,20.3,1.598,8.56,-0.199,0.099,0.02,-0.745,3.21
2001,2000,67,3.73,8.756,0.021,0.11,0,0.078,4.184
2002,2001,45.3,2.869,9.028,0.215,0.046,0.01,0.784,3.598
2003,2002,52.5,2.785,8.198,-0.049,0.165,0.002,-0.192,4.01
2004,2003,45.3,3.078,9.349,0.286,0.054,0.021,1.044,3.528
2005,2004,59.1,3.899,9.269,0.091,0.089,0.004,0.337,3.989
2006,2005,11.6,2.04,10.203,-0.082,0.256,0.013,-0.339,2.533
2007,2006,44.8,2.573,8.771,0.214,0.058,0.013,0.784,3.588
2008,2007,15.9,1.168,8.951,-0.011,0.108,0,-0.04,2.777
2009,2008,38,2.323,7.925,-0.288,0.231,0.137,-1.168,3.926
2010,2009,24,2.333,9.378,0.044,0.061,0.001,0.162,3.134
2011,2010,58.9,4.108,9.395,0.051,0.107,0.001,0.19,4.025
2012,2011,21.3,1.455,8.669,-0.018,0.096,0,-0.068,3.077
2013,2012,94.7,3.522,8.725,0.456,0.099,0.106,1.706,4.095
2014,2013,37.2,2.143,8.865,0.298,0.055,0.023,1.089,3.318
2015,2014,35.1,3.817,9.093,-0.485,0.086,0.102,-1.803,4.043
2016,2015,18.4,2.453,9.645,-0.136,0.092,0.009,-0.507,3.048
2017,2016,34.7,4.351,10.297,-0.107,0.268,0.024,-0.445,3.654
2018,2017,8.1,0.346,8.56,-0.482,0.207,0.323,-1.925,2.574
2019,2018,21.1,1.172,8.925,0.256,0.107,0.037,0.963,2.793
2020,2019,8,1.142,9.911,-0.162,0.255,0.051,-0.667,2.238
