"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.51,0.09,0.06,1.61,27
1999,77.82,-0.29,0.29,0.11,-1.04,109.6
2000,20.25,-0.23,0.12,0.02,-0.74,26.92
2001,67.02,0.01,0.1,0,0.04,69.83
2002,45.32,0.29,0.14,0.04,0.96,35.66
2003,52.47,-0.13,0.16,0.01,-0.43,63.19
2004,45.31,0.35,0.13,0.05,1.13,33.78
2005,59.12,0.09,0.1,0,0.3,56.78
2006,11.61,-0.16,0.25,0.03,-0.56,14.4
2007,44.8,0.06,0.09,0,0.2,44.37
2008,15.91,-0.12,0.09,0,-0.37,18.86
2009,38.02,-0.41,0.22,0.14,-1.41,60.46
2010,24.14,0.04,0.08,0,0.13,24.49
2011,58.88,0.02,0.11,0,0.05,61.13
2012,21.28,-0.08,0.11,0,-0.25,24.29
2013,94.72,0.3,0.13,0.04,0.98,74.11
2014,37.17,0.29,0.1,0.03,0.94,29.27
2015,35.09,-0.5,0.09,0.06,-1.58,60.97
2016,18.37,-0.16,0.1,0.01,-0.51,22.74
2017,34.73,-0.2,0.29,0.05,-0.71,44.61
2018,8.07,-0.65,0.16,0.22,-2.15,16.31
2019,21.14,-0.04,0.26,0,-0.15,23.27
2020,8.06,-0.31,0.23,0.09,-1.07,11.61
2021,48.53,0.38,0.12,0.05,1.23,35.01
2022,18.3,0.12,0.1,0,0.38,17.17
2023,47.84,0.69,0.22,0.4,2.38,25.24
2024,20.12,0.1,0.09,0,0.32,19.18
