"year","SEAKCatch_log","CPUE","resid","hat_values","Cooks_distance","std_resid","fitted"
1998,3.75,2.477744394,0.45,0.049,0.043,1.593,3.299
1999,4.354,5.622379984,-0.447,0.324,0.564,-1.878,4.801
2000,3.011,1.597723341,-0.195,0.1,0.019,-0.709,3.205
2001,4.205,3.729984668,0.002,0.114,0,0.006,4.203
2002,3.813,2.868826043,0.194,0.047,0.008,0.684,3.62
2003,3.961,2.784664064,-0.042,0.164,0.002,-0.157,4.002
2004,3.813,3.077820362,0.251,0.056,0.016,0.892,3.562
2005,4.079,3.89940674,0.052,0.095,0.001,0.19,4.027
2006,2.451,2.040345363,-0.139,0.249,0.034,-0.553,2.59
2007,3.802,2.572780687,0.203,0.058,0.011,0.723,3.599
2008,2.766,1.167638593,-0.017,0.108,0,-0.061,2.783
2009,3.638,2.555110705,-0.387,0.236,0.241,-1.528,4.024
2010,3.178,2.205387755,0.08,0.064,0.002,0.285,3.098
2011,4.076,3.883592976,0.122,0.097,0.007,0.443,3.954
2012,3.059,1.375258449,0.024,0.102,0,0.088,3.034
2013,4.551,3.328878775,0.539,0.089,0.123,1.948,4.012
2014,3.616,2.02555827,0.348,0.058,0.031,1.236,3.269
2015,3.558,3.608562898,-0.409,0.076,0.06,-1.469,3.967
2016,2.912,2.318486729,-0.107,0.094,0.005,-0.388,3.019
2017,3.547,4.113087664,-0.062,0.263,0.007,-0.251,3.609
2018,2.092,0.326919369,-0.459,0.215,0.292,-1.788,2.551
2019,3.049,1.233765062,0.219,0.102,0.024,0.797,2.83
2020,2.088,1.202606515,-0.22,0.24,0.08,-0.872,2.308
