"year","Chatham_SST_MJJ","Chatham_SST_May","Chatham_SST_AMJJ","Chatham_SST_AMJ"
1997,10.08,7.48,8.83,7.59
1998,9.85,7.83,8.91,7.88
1999,8.9,6.84,8.05,7.12
2000,9.7,7.34,8.62,7.52
2001,9.15,6.74,8.18,7.12
2002,8.97,6.39,7.85,6.64
2003,9.92,7.71,8.9,7.85
2004,10.43,7.94,9.22,7.96
2005,10.67,8.51,9.48,8.44
2006,9.78,7.16,8.68,7.58
2007,9.52,7.04,8.41,7.27
2008,8.65,6.77,7.69,6.83
2009,9.75,7.3,8.46,7.35
2010,9.65,7.97,8.66,7.93
2011,9.59,7.31,8.49,7.55
2012,9.17,7.07,8.18,7.22
2013,9.66,6.74,8.44,7.21
2014,9.98,8.17,8.76,7.77
2015,10.62,8.87,9.55,8.73
2016,11.04,8.92,10.03,9.07
2017,9.65,7.65,8.7,7.76
2018,9.87,7.4,8.75,7.61
2019,10.47,8.24,9.46,8.35
2020,9.99,8.09,8.84,7.86
2021,10.06,7.25,8.9,7.63
2022,10.17,7.52,8.92,7.64
