"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.28,0.04,0.01,0.91,33.73
1999,77.82,-0.43,0.29,0.37,-1.65,125.66
2000,20.25,-0.32,0.11,0.05,-1.07,29.16
2001,67.02,0.12,0.09,0,0.39,62.74
2002,45.32,-0.11,0.11,0.01,-0.37,53.22
2003,52.47,-0.03,0.15,0,-0.1,56.83
2004,45.31,0.16,0.05,0,0.52,40.66
2005,59.12,0.18,0.09,0.01,0.59,52.09
2006,11.61,-0.39,0.12,0.08,-1.32,17.91
2007,44.8,0.14,0.06,0,0.46,40.97
2008,15.91,-0.28,0.11,0.04,-0.95,22.11
2009,38.02,-0.04,0.1,0,-0.14,41.72
2010,24.14,-0.23,0.04,0.01,-0.74,31.84
2011,58.88,0.02,0.11,0,0.07,60.66
2012,21.28,0,0.07,0,-0.01,22.49
2013,94.72,0.45,0.1,0.08,1.5,63.48
2014,37.17,0,0.11,0,0,39.16
2015,35.09,-0.19,0.11,0.02,-0.66,44.81
2016,18.37,0.08,0.21,0.01,0.31,17.76
2017,34.73,-0.15,0.26,0.04,-0.56,42.51
2018,8.07,-0.24,0.19,0.06,-0.86,10.79
2019,21.14,0.26,0.09,0.03,0.87,17.15
2020,8.06,-0.34,0.19,0.11,-1.19,11.83
2021,48.5,0.93,0.1,0.36,3.14,19.63
2022,18.04,0.14,0.12,0.01,0.47,16.51
