model,terms,AdjR2,5-year MAPE,10-year MAPE
m1,CPUE,0.612,57%,63%
m2,CPUE + ISTI20_MJJ,0.817,37%,35%
m3,CPUE + Chatham_SST_May,0.799,30%,25%
m4,CPUE + Chatham_SST_MJJ,0.748,42%,38%
m5,CPUE + Chatham_SST_AMJ,0.801,31%,28%
m6,CPUE + Chatham_SST_AMJJ,0.778,36%,32%
m7,CPUE + Icy_Strait_SST_May,0.783,31%,24%
m8,CPUE + Icy_Strait_SST_MJJ,0.738,43%,38%
m9,CPUE + Icy_Strait_SST_AMJ,0.772,33%,28%
m10,CPUE + Icy_Strait_SST_AMJJ,0.756,37%,33%
m11,CPUE + NSEAK_SST_May,0.788,28%,24%
m12,CPUE + NSEAK_SST_MJJ,0.754,38%,33%
m13,CPUE + NSEAK_SST_AMJ,0.789,29%,27%
m14,CPUE + NSEAK_SST_AMJJ,0.771,32%,28%
m15,CPUE + SEAK_SST_May,0.77,32%,28%
m16,CPUE + SEAK_SST_MJJ,0.74,40%,36%
m17,CPUE + SEAK_SST_AMJ,0.776,32%,30%
m18,CPUE + SEAK_SST_AMJJ,0.756,35%,31%
