"Year","fitted_values","year_minus","type"
1998,28.71,10,"estimate"
1999,115.39,10,"estimate"
2000,26,10,"estimate"
2001,63.27,10,"estimate"
2002,38.21,10,"estimate"
2003,52.15,10,"estimate"
2004,37.31,10,"estimate"
2005,53.8,10,"estimate"
2006,15.76,10,"estimate"
2007,37.6,10,"estimate"
2008,18.17,10,"estimate"
2009,47.73,10,"estimate"
2010,25.88,10,"estimate"
2011,58.74,10,"estimate"
2012,23.97,10,"estimate"
1998,28.87,9,"estimate"
1999,122.48,9,"estimate"
2000,26.66,9,"estimate"
2001,66.86,9,"estimate"
2002,39.21,9,"estimate"
2003,55.7,9,"estimate"
2004,37.89,9,"estimate"
2005,55.43,9,"estimate"
2006,15,9,"estimate"
2007,38.9,9,"estimate"
2008,18.13,9,"estimate"
2009,51.27,9,"estimate"
2010,25.85,9,"estimate"
2011,60.71,9,"estimate"
2012,24.42,9,"estimate"
2013,69.55,9,"estimate"
1998,29.31,8,"estimate"
1999,121.33,8,"estimate"
2000,27.31,8,"estimate"
2001,67.33,8,"estimate"
2002,39.71,8,"estimate"
2003,56.6,8,"estimate"
2004,38.29,8,"estimate"
2005,55.66,8,"estimate"
2006,15.23,8,"estimate"
2007,39.53,8,"estimate"
2008,18.61,8,"estimate"
2009,52.33,8,"estimate"
2010,26.26,8,"estimate"
2011,60.85,8,"estimate"
2012,25.02,8,"estimate"
2013,70.21,8,"estimate"
2014,30.86,8,"estimate"
1998,28.87,7,"estimate"
1999,111.64,7,"estimate"
2000,27.51,7,"estimate"
2001,64.73,7,"estimate"
2002,38.84,7,"estimate"
2003,55.71,7,"estimate"
2004,37.22,7,"estimate"
2005,53.15,7,"estimate"
2006,15.07,7,"estimate"
2007,38.96,7,"estimate"
2008,18.89,7,"estimate"
2009,52.09,7,"estimate"
2010,25.94,7,"estimate"
2011,57.84,7,"estimate"
2012,25.25,7,"estimate"
2013,67.91,7,"estimate"
2014,30.69,7,"estimate"
2015,56.36,7,"estimate"
1998,28.16,6,"estimate"
1999,111.1,6,"estimate"
2000,27.27,6,"estimate"
2001,64.77,6,"estimate"
2002,38.3,6,"estimate"
2003,56.36,6,"estimate"
2004,36.44,6,"estimate"
2005,52.32,6,"estimate"
2006,14.23,6,"estimate"
2007,38.67,6,"estimate"
2008,18.44,6,"estimate"
2009,53,6,"estimate"
2010,25.21,6,"estimate"
2011,56.99,6,"estimate"
2012,24.93,6,"estimate"
2013,68.49,6,"estimate"
2014,30.28,6,"estimate"
2015,55.81,6,"estimate"
2016,23.4,6,"estimate"
1998,27.87,5,"estimate"
1999,107.96,5,"estimate"
2000,27.51,5,"estimate"
2001,64.37,5,"estimate"
2002,38.03,5,"estimate"
2003,56.93,5,"estimate"
2004,35.92,5,"estimate"
2005,51.35,5,"estimate"
2006,13.84,5,"estimate"
2007,38.66,5,"estimate"
2008,18.5,5,"estimate"
2009,53.98,5,"estimate"
2010,24.93,5,"estimate"
2011,55.85,5,"estimate"
2012,25.11,5,"estimate"
2013,68.54,5,"estimate"
2014,30.29,5,"estimate"
2015,55.04,5,"estimate"
2016,23,5,"estimate"
2017,39.51,5,"estimate"
1998,26.83,4,"estimate"
1999,122.2,4,"estimate"
2000,25.18,4,"estimate"
2001,65.82,4,"estimate"
2002,37.28,4,"estimate"
2003,55.22,4,"estimate"
2004,35.67,4,"estimate"
2005,53.19,4,"estimate"
2006,13.12,4,"estimate"
2007,37.27,4,"estimate"
2008,16.61,4,"estimate"
2009,51.02,4,"estimate"
2010,23.83,4,"estimate"
2011,58.49,4,"estimate"
2012,22.9,4,"estimate"
2013,69.19,4,"estimate"
2014,28.56,4,"estimate"
2015,56.63,4,"estimate"
2016,22.17,4,"estimate"
2017,42.15,4,"estimate"
2018,13.41,4,"estimate"
1998,27.29,3,"estimate"
1999,118.9,3,"estimate"
2000,25.82,3,"estimate"
2001,65.55,3,"estimate"
2002,37.65,3,"estimate"
2003,55.54,3,"estimate"
2004,35.99,3,"estimate"
2005,53.03,3,"estimate"
2006,13.51,3,"estimate"
2007,37.73,3,"estimate"
2008,17.18,3,"estimate"
2009,51.57,3,"estimate"
2010,24.31,3,"estimate"
2011,58.15,3,"estimate"
2012,23.53,3,"estimate"
2013,68.98,3,"estimate"
2014,29.12,3,"estimate"
2015,56.47,3,"estimate"
2016,22.61,3,"estimate"
2017,41.99,3,"estimate"
2018,14.01,3,"estimate"
2019,17.28,3,"estimate"
1998,26.83,2,"estimate"
1999,120.78,2,"estimate"
2000,25.63,2,"estimate"
2001,66.28,2,"estimate"
2002,37.43,2,"estimate"
2003,56.43,2,"estimate"
2004,35.59,2,"estimate"
2005,52.9,2,"estimate"
2006,12.88,2,"estimate"
2007,37.67,2,"estimate"
2008,16.79,2,"estimate"
2009,52.53,2,"estimate"
2010,23.8,2,"estimate"
2011,58.12,2,"estimate"
2012,23.27,2,"estimate"
2013,70.15,2,"estimate"
2014,28.86,2,"estimate"
2015,56.6,2,"estimate"
2016,22.02,2,"estimate"
2017,41.12,2,"estimate"
2018,13.7,2,"estimate"
2019,16.89,2,"estimate"
2020,9.66,2,"estimate"
1998,27.62,1,"estimate"
