"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.46,0.05,0.04,1.63,27.84
1999,77.82,-0.38,0.29,0.33,-1.56,118.91
2000,20.25,-0.25,0.09,0.03,-0.9,27.17
2001,67.02,0.03,0.1,0,0.12,67.72
2002,45.32,0.2,0.04,0.01,0.7,38.69
2003,52.47,-0.07,0.15,0,-0.27,58.88
2004,45.31,0.26,0.05,0.02,0.91,36.56
2005,59.12,0.14,0.09,0.01,0.51,53.61
2006,11.61,-0.1,0.25,0.02,-0.39,13.34
2007,44.8,0.18,0.05,0.01,0.62,39.23
2008,15.91,-0.07,0.09,0,-0.26,17.86
2009,38.02,-0.33,0.22,0.16,-1.3,55.38
2010,24.14,0.02,0.06,0,0.06,24.74
2011,58.88,0.05,0.11,0,0.17,58.68
2012,21.28,-0.11,0.08,0,-0.38,24.68
2013,94.72,0.31,0.13,0.07,1.16,72.12
2014,37.17,0.25,0.05,0.01,0.88,30.24
2015,35.09,-0.45,0.08,0.08,-1.62,57.56
2016,18.37,-0.17,0.09,0.01,-0.62,22.78
2017,34.73,-0.12,0.25,0.03,-0.49,41.01
2018,8.07,-0.57,0.18,0.34,-2.15,14.82
2019,21.14,0.2,0.09,0.02,0.74,17.97
2020,8.06,-0.19,0.24,0.06,-0.75,10.18
2021,48.5,0.54,0.05,0.06,1.91,29.45
2022,18.3,0.18,0.12,0.02,0.66,15.93
