"model","terms","AdjR2","AICc","MASE","wMAPE","MAPE_LOOCV"
"m1","CPUE",0.612,32.55,0.372,0.159,0.113
"m2","CPUE + ISTI20_MJJ",0.817,15.47,0.246,0.115,0.076
"m3","CPUE + Chatham_SST_May",0.799,17.84,0.246,0.116,0.076
"m4","CPUE + Chatham_SST_MJJ",0.748,23.5,0.308,0.148,0.097
"m5","CPUE + Chatham_SST_AMJ",0.801,17.67,0.262,0.116,0.08
"m6","CPUE + Chatham_SST_AMJJ",0.778,20.39,0.286,0.13,0.088
"m7","CPUE + Icy_Strait_SST_May",0.783,19.82,0.236,0.123,0.074
"m8","CPUE + Icy_Strait_SST_MJJ",0.738,24.54,0.314,0.149,0.099
"m9","CPUE + Icy_Strait_SST_AMJ",0.772,21.07,0.266,0.13,0.083
"m10","CPUE + Icy_Strait_SST_AMJJ",0.756,22.68,0.299,0.136,0.093
"m11","CPUE + NSEAK_SST_May",0.788,19.26,0.241,0.12,0.076
"m12","CPUE + NSEAK_SST_MJJ",0.754,22.97,0.302,0.144,0.095
"m13","CPUE + NSEAK_SST_AMJ",0.789,19.1,0.256,0.119,0.079
"m14","CPUE + NSEAK_SST_AMJJ",0.771,21.11,0.286,0.131,0.088
"m15","CPUE + SEAK_SST_May",0.77,21.21,0.263,0.133,0.083
"m16","CPUE + SEAK_SST_MJJ",0.74,24.3,0.312,0.15,0.099
"m17","CPUE + SEAK_SST_AMJ",0.776,20.53,0.271,0.129,0.084
"m18","CPUE + SEAK_SST_AMJJ",0.756,22.73,0.299,0.139,0.093
