"","model","term","estimate","std.error","statistic","p.value"
"1","m1","(Intercept)",2.37386130056577,0.20384334358436,11.6455178708515,2.30515773195965e-10
"2","m1","CPUE",0.434207795662707,0.0713386602898749,6.08657064624374,5.99295082310501e-06
"3","m2","(Intercept)",11.1295695495447,2.44280386744087,4.55606350468254,0.000215913626231135
"4","m2","CPUE",0.505482981106037,0.0598672342658738,8.44339958751323,7.45299318554241e-08
"5","m2","ISTI_MJJ_log",-4.06096450917676,1.13051553748921,-3.59213506980704,0.00194290121295634
"6","m3","(Intercept)",12.5308188396613,2.66060519564577,4.70976259843765,0.000152524897146643
"7","m3","CPUE",0.496288604782718,0.0573637300836148,8.65160972027647,5.13897646523158e-08
"8","m3","ISTI_log",-4.62550514946746,1.20952955186484,-3.82421838502077,0.00114470771124656
"9","m4","(Intercept)",-1.28187927051851,6.84932171130712,-0.187154191984053,0.853633120027692
"10","m4","CPUE",5.17511590101483,2.42983801260255,2.12981930242826,0.0472407678017374
"11","m4","ISTI_MJJ_log",1.57656289823207,3.11769528555465,0.505682163852519,0.619216192121027
"12","m4","CPUE:ISTI_MJJ_log",-2.11250895371606,1.09894932005483,-1.92229879500782,0.0705406649763115
"13","m5","(Intercept)",-0.569509780233721,8.69050814915369,-0.0655323912548406,0.948472471978988
"14","m5","CPUE",5.31115544107697,3.05262337362039,1.73986594185642,0.0989524543036916
"15","m5","ISTI_log",1.24927444321466,3.90190023249275,0.320170780588245,0.752525607375489
"16","m5","CPUE:ISTI_log",-2.15267800204,1.36457338766793,-1.57754652222768,0.132082063940794
