"Model","Term","Estimate","Standard Error","Statistic","p value"
"m1","(Intercept)",2.45922015,0.201,12.224,0
"m1","CPUE",0.3978377,0.072,5.534,0
"m2","(Intercept)",7.33418277,1.126,6.516,0
"m2","CPUE",0.45863512,0.056,8.186,0
"m2","ISTI20_MJJ",-0.55529443,0.127,-4.371,0
"m3","(Intercept)",5.63349422,0.807,6.978,0
"m3","CPUE",0.45482451,0.058,7.828,0
"m3","Chatham_SST_May",-0.43953936,0.11,-4.009,0.001
"m4","(Intercept)",6.18379334,1.376,4.494,0
"m4","CPUE",0.41534625,0.064,6.476,0
"m4","Chatham_SST_MJJ",-0.38382919,0.141,-2.73,0.012
"m5","(Intercept)",6.3638371,0.979,6.502,0
"m5","CPUE",0.44211418,0.057,7.728,0
"m5","Chatham_SST_AMJ",-0.52343306,0.13,-4.042,0.001
"m6","(Intercept)",6.50683318,1.228,5.299,0
"m6","CPUE",0.42621034,0.061,6.995,0
" m6","Chatham_SST_AMJJ",-0.47189771,0.142,-3.328,0.003
"m7","(Intercept)",5.23790401,0.767,6.829,0
"m7","CPUE",0.46655075,0.061,7.65,0
"m7","Icy_Strait_SST_May",-0.41004163,0.111,-3.707,0.001
"m8","(Intercept)",5.88065227,1.284,4.579,0
"m8","CPUE",0.421465,0.065,6.52,0
"m8","Icy_Strait_SST_MJJ",-0.34602447,0.129,-2.69,0.013
"m9","(Intercept)",5.92430322,0.987,6.001,0
"m9","CPUE",0.45062897,0.061,7.412,0
" m9","Icy_Strait_SST_AMJ",-0.48159403,0.135,-3.56,0.002
"m10","(Intercept)",6.07380512,1.179,5.151,0
"m10","CPUE",0.43321708,0.063,6.907,0
"m10","Icy_Strait_SST_AMJJ",-0.42261861,0.136,-3.099,0.005
"m11","(Intercept)",5.25766014,0.775,6.783,0
"m11","CPUE",0.43055376,0.059,7.316,0
"m11","NSEAK_SST_May",-0.38385925,0.104,-3.693,0.001
"m12","(Intercept)",5.75502896,1.294,4.447,0
"m12","CPUE",0.39911576,0.065,6.167,0
" m12","NSEAK_SST_MJJ",-0.33354249,0.13,-2.572,0.017
"m13","(Intercept)",5.92141431,0.975,6.073,0
"m13","CPUE",0.4200576,0.059,7.116,0
"m13","NSEAK_SST_AMJ",-0.46468291,0.129,-3.603,0.002
"m14","(Intercept)",6.01603253,1.198,5.02,0
"m14","CPUE",0.40870332,0.062,6.554,0
"m14","NSEAK_SST_AMJJ",-0.41192349,0.137,-3,0.006
"m15","(Intercept)",5.25231232,0.834,6.3,0
"m15","CPUE",0.42835855,0.06,7.086,0
" m15","SEAK_SST_May",-0.35428069,0.104,-3.42,0.002
"m16","(Intercept)",5.58324306,1.292,4.322,0
"m16","CPUE",0.39367651,0.065,6.015,0
"m16","SEAK_SST_MJJ",-0.29978726,0.123,-2.443,0.023
"m17","(Intercept)",5.82735376,1.024,5.69,0
"m17","CPUE",0.41687431,0.061,6.884,0
"m17","SEAK_SST_AMJ",-0.41920346,0.126,-3.334,0.003
"m18","(Intercept)",5.82095038,1.217,4.782,0
"m18","CPUE",0.4027926,0.063,6.345,0
" m18","SEAK_SST_AMJJ",-0.36537612,0.131,-2.792,0.01
"m19","(Intercept)",6.2047832,1.072,5.788,0
"m19","CPUE",0.49772535,0.051,9.689,0
"m19","ISTI20_MJJ",-0.47842788,0.116,-4.113,0
"m19","zoo_density_June",0.00014847,0,2.384,0.027
" m19","condition_July",-3.30195727,1.805,-1.829,0.082
"m1a","(Intercept)",-3.74050054,5.17,-0.723,0.477
"m1a","CPUE",0.35084309,0.081,4.316,0
"m1a","esc_index_log",0.38416755,0.32,1.2,0.242
"m2a","(Intercept)",6.83400928,4.82,1.418,0.17
"m2a","CPUE",0.45463059,0.068,6.642,0
"m2a","ISTI20_MJJ",-0.55033044,0.138,-3.99,0.001
"m2a","esc_index_log",0.028293,0.265,0.107,0.916
"m3a","(Intercept)",2.36341879,4.438,0.533,0.6
"m3a","CPUE",0.42881274,0.068,6.292,0
"m3a","Chatham_SST_May",-0.42319684,0.113,-3.751,0.001
"m3a","esc_index_log",0.19531789,0.261,0.75,0.461
"m4a","(Intercept)",1.47269873,5.064,0.291,0.774
"m4a","CPUE",0.3801715,0.074,5.15,0
"m4a","Chatham_SST_MJJ",-0.36464847,0.142,-2.564,0.018
"m4a","esc_index_log",0.28039113,0.29,0.967,0.344
"m5a","(Intercept)",3.96237361,4.628,0.856,0.401
"m5a","CPUE",0.42341056,0.068,6.231,0
"m5a","Chatham_SST_AMJ",-0.50559502,0.136,-3.723,0.001
"m5a","esc_index_log",0.14056198,0.265,0.531,0.601
"m6a","(Intercept)",2.82091806,4.902,0.575,0.571
"m6a","CPUE",0.39837864,0.071,5.6,0
"m6a","Chatham_SST_AMJJ",-0.44982945,0.146,-3.085,0.005
"m6a","esc_index_log",0.21666965,0.279,0.777,0.445
"m7a","(Intercept)",2.14006874,4.598,0.465,0.646
"m7a","CPUE",0.44111451,0.072,6.122,0
"m7a","Icy_Strait_SST_May",-0.39322458,0.115,-3.432,0.002
"m7a","esc_index_log",0.18489659,0.27,0.684,0.501
"m8a","(Intercept)",1.15129812,5.041,0.228,0.821
"m8a","CPUE",0.38573248,0.074,5.18,0
"m8a","Icy_Strait_SST_MJJ",-0.32854921,0.13,-2.527,0.019
"m8a","esc_index_log",0.28234871,0.291,0.97,0.342
"m9a","(Intercept)",3.61368892,4.912,0.736,0.47
"m9a","CPUE",0.43207138,0.073,5.926,0
" m9a","Icy_Strait_SST_AMJ",-0.46265988,0.143,-3.232,0.004
" m9a","esc_index_log",0.13473627,0.28,0.481,0.636
"m10a","(Intercept)",2.25871008,4.977,0.454,0.654
"m10a","CPUE",0.40388987,0.073,5.506,0
"m10a","Icy_Strait_SST_AMJJ",-0.40099401,0.14,-2.86,0.009
"m10a","esc_index_log",0.22494293,0.285,0.789,0.438
"m11a","(Intercept)",2.06472813,4.594,0.449,0.658
"m11a","CPUE",0.40587608,0.069,5.88,0
"m11a","NSEAK_SST_May",-0.36801332,0.107,-3.424,0.002
"m11a","esc_index_log",0.19069269,0.27,0.705,0.488
"m12a","(Intercept)",1.41427541,5.205,0.272,0.788
"m12a","CPUE",0.36769403,0.075,4.928,0
" m12a","NSEAK_SST_MJJ",-0.31269379,0.133,-2.357,0.028
" m12a","esc_index_log",0.25621058,0.297,0.861,0.398
"m13a","(Intercept)",3.59229209,4.877,0.737,0.469
"m13a","CPUE",0.40255896,0.07,5.756,0
"m13a","NSEAK_SST_AMJ",-0.44662432,0.136,-3.277,0.003
"m13a","esc_index_log",0.13598742,0.279,0.488,0.631
"m14a","(Intercept)",2.47874613,5.103,0.486,0.632
"m14a","CPUE",0.38277698,0.073,5.261,0
"m14a","NSEAK_SST_AMJJ",-0.3892305,0.142,-2.734,0.012
"m14a","esc_index_log",0.20704717,0.29,0.714,0.483
"m15a","(Intercept)",2.09089202,4.768,0.439,0.665
"m15a","CPUE",0.4039667,0.071,5.683,0
"m15a","SEAK_SST_May",-0.33806457,0.108,-3.143,0.005
"m15a","esc_index_log",0.18797638,0.279,0.674,0.507
"m16a","(Intercept)",1.17888486,5.261,0.224,0.825
"m16a","CPUE",0.36215832,0.075,4.813,0
"m16a","SEAK_SST_MJJ",-0.2796802,0.126,-2.227,0.036
"m16a","esc_index_log",0.25993368,0.301,0.864,0.397
"m17a","(Intercept)",3.1947002,5.004,0.638,0.53
"m17a","CPUE",0.39721372,0.072,5.551,0
"m17a","SEAK_SST_AMJ",-0.40014579,0.133,-3.019,0.006
"m17a","esc_index_log",0.15364499,0.286,0.538,0.596
"m18a","(Intercept)",2.1284865,5.2,0.409,0.686
"m18a","CPUE",0.37605566,0.074,5.093,0
" m18a","SEAK_SST_AMJJ",-0.34308463,0.136,-2.528,0.019
" m18a","esc_index_log",0.21609566,0.296,0.731,0.473
