"Year","Harvest","Residuals","Hat values","Cooks distance","Std. residuals","Fitted values"
1998,42.45,0.24,0.04,0.01,0.69,35.53
1999,77.82,-0.39,0.29,0.22,-1.26,122.14
2000,20.25,-0.37,0.1,0.04,-1.07,31.19
2001,67.02,0.12,0.09,0,0.34,63.56
2002,45.32,-0.12,0.11,0.01,-0.36,54.73
2003,52.47,-0.04,0.15,0,-0.12,58.32
2004,45.31,0.14,0.05,0,0.39,42.21
2005,59.12,0.17,0.09,0.01,0.5,53.11
2006,11.61,-0.45,0.12,0.08,-1.34,19.49
2007,44.8,0.11,0.06,0,0.32,42.71
2008,15.91,-0.35,0.11,0.04,-1.01,24.01
2009,38.02,-0.07,0.1,0,-0.21,43.56
2010,24.14,-0.27,0.04,0.01,-0.75,33.65
2011,58.88,0.03,0.11,0,0.07,61.28
2012,21.28,-0.07,0.07,0,-0.19,24.27
2013,94.72,0.45,0.1,0.06,1.3,64.71
2014,37.17,-0.03,0.11,0,-0.1,41.07
2015,35.09,-0.21,0.11,0.01,-0.6,46.02
2016,18.37,0.02,0.21,0,0.07,19.19
2017,34.73,-0.16,0.26,0.03,-0.51,43.51
2018,8.07,-0.35,0.18,0.08,-1.05,12.17
2019,21.14,0.18,0.09,0.01,0.53,18.82
2020,8.06,-0.43,0.18,0.12,-1.31,13.2
2021,48.53,0.87,0.09,0.22,2.54,21.65
2022,18.3,0.07,0.11,0,0.21,18.18
2023,46.77,0.89,0.07,0.17,2.56,20.5
