"Year","Juvenile year","Harvest","CPUE","Escapement index"
1998,1997,42.45,2.48,18090337
1999,1998,77.82,5.62,14681062
2000,1999,20.25,1.6,14248275
2001,2000,67.02,3.73,27195944
2002,2001,45.32,2.87,10699025
2003,2002,52.47,2.78,18566341
2004,2003,45.31,3.08,16549670
2005,2004,59.12,3.9,19867278
2006,2005,11.61,2.04,15601572
2007,2006,44.8,2.58,19820824
2008,2007,15.91,1.17,10194617
2009,2008,38.02,2.32,17582000
2010,2009,24.14,2.33,9484485
2011,2010,58.88,4.11,12626432
2012,2011,21.28,1.51,11134757
2013,2012,94.72,3.52,14178881
2014,2013,37.17,2.14,11025094
2015,2014,35.09,3.8,25153162
2016,2015,18.37,2.45,13764123
2017,2016,34.73,4.35,12342523
2018,2017,8.07,0.35,10076959
2019,2018,21.14,1.17,13882487
2020,2019,8.06,1.14,8145577
2021,2020,48.53,2.15,8809780
2022,2021,18.3,0.88,9734280
2023,2022,46.77,1.45,15665251
2024,2023,NA,1.22,10032916
