"year","SEAKCatch_log","CPUE","resid","hat_values","Cooks_distance","std_resid","fitted"
1998,3.75,2.477744394,0.421,0.048,0.035,1.455,3.328
1999,4.354,5.622379984,-0.493,0.344,0.735,-2.051,4.847
2000,3.011,1.597723341,-0.208,0.099,0.02,-0.737,3.218
2001,4.205,3.729984668,-0.024,0.119,0,-0.085,4.228
2002,3.813,2.868826043,0.167,0.048,0.006,0.577,3.646
2003,3.961,2.784664064,-0.053,0.165,0.003,-0.197,4.014
2004,3.813,3.077820362,0.218,0.057,0.012,0.757,3.595
2005,4.079,3.89940674,0.018,0.101,0,0.062,4.062
2006,2.451,2.040345363,-0.182,0.243,0.053,-0.704,2.633
2007,3.802,2.572780687,0.183,0.059,0.008,0.634,3.62
2008,2.766,1.167638593,-0.035,0.105,0.001,-0.123,2.801
2009,3.638,2.555110705,-0.393,0.237,0.238,-1.515,4.031
2010,3.178,2.094191733,0.108,0.066,0.003,0.377,3.07
2011,4.076,3.687781566,0.187,0.088,0.014,0.659,3.889
2012,3.059,1.305917687,0.046,0.105,0.001,0.165,3.012
2013,4.551,3.161036148,0.603,0.082,0.134,2.119,3.948
2014,3.616,1.923429282,0.381,0.06,0.037,1.322,3.236
2015,3.558,3.42661855,-0.345,0.069,0.036,-1.205,3.903
2016,2.912,2.201588239,-0.081,0.096,0.003,-0.287,2.993
2017,3.547,3.905705092,-0.008,0.257,0,-0.031,3.555
2018,2.092,0.310436039,-0.458,0.217,0.28,-1.742,2.55
2019,3.049,1.233765062,0.201,0.1,0.019,0.714,2.848
2020,2.088,1.202606515,-0.255,0.234,0.098,-0.98,2.343
