"year","SST_Jordan_MJJ","SST_Jordan_May","SST_Jordan_AMJJ"
1997,10.44,7.14,8.92
1998,10.07,7.35,8.91
1999,9.18,6.13,8.08
2000,10.04,7.09,8.74
2001,9.65,6.49,8.45
2002,9.41,6.32,8.06
2003,10.17,7.42,8.96
2004,10.84,7.71,9.39
2005,11.32,8.59,9.78
2006,10.28,6.88,8.93
2007,9.59,6.6,8.23
2008,8.9,6.44,7.77
2009,10.11,7.35,8.61
2010,9.99,7.82,8.78
2011,9.93,6.86,8.53
2012,9.3,6.96,8.16
2013,10.02,6.49,8.56
2014,10.33,8.01,8.89
2015,10.82,8.44,9.5
2016,11.77,8.92,10.46
2017,9.92,7.34,8.77
2018,10.16,7.03,8.89
2019,10.92,7.92,9.67
2020,10.63,8.09,9.23
