"year","ISTI3_May","ISTI10_May","ISTI15_May","ISTI20_May","IS3_May"
1997,8.33,7.97,7.6,7.23,8.38
1998,7.78,7.64,7.5,7.38,7.74
1999,6.77,6.66,6.52,6.39,6.97
2000,7,6.82,6.61,6.47,7.08
2001,7.28,7.1,6.94,6.78,7.1
2002,6.88,6.73,6.56,6.39,6.54
2003,7.86,7.76,7.59,7.42,7.73
2004,8.11,7.86,7.61,7.38,8.09
2005,9.74,9.28,8.72,8.32,9.26
2006,7.28,7.16,6.93,6.77,7.28
2007,8.22,7.7,7.36,7.05,8.14
2008,6.97,6.7,6.42,6.22,6.82
2009,9.24,8.65,8.26,7.92,8.95
2010,10.14,9.44,8.89,8.49,9.62
2011,7.07,6.89,6.68,6.51,7.01
2012,7.08,6.91,6.77,6.63,6.84
2013,7.17,6.9,6.72,6.55,7.3
2014,9.24,8.57,8.03,7.66,9.02
2015,8.18,7.93,7.78,7.63,7.99
2016,9.45,9.14,8.89,8.68,9.37
2017,8.45,8.05,7.84,7.69,8.2
2018,8.48,8.25,8.07,7.91,8.47
2019,8.79,8.5,8.18,7.92,9.02
2020,8.39,8.07,7.76,7.47,8.32
