"year","Chatham_Strait_SST_MJJ","Chatham_Strait_SST_May","Chatham_Strait_SST_AMJJ"
1997,10.05,7.58,8.84
1998,9.86,7.92,8.94
1999,8.9,6.99,8.08
2000,9.68,7.4,8.63
2001,9.1,6.8,8.15
2002,8.92,6.41,7.83
2003,9.91,7.81,8.92
2004,10.42,8.06,9.22
2005,10.59,8.54,9.45
2006,9.74,7.23,8.66
2007,9.55,7.17,8.47
2008,8.65,6.86,7.71
2009,9.79,7.36,8.51
2010,9.66,8.06,8.7
2011,9.61,7.46,8.54
2012,9.2,7.12,8.23
2013,9.66,6.8,8.46
2014,9.98,8.27,8.78
2015,10.66,9.02,9.61
2016,10.97,8.97,10
2017,9.67,7.77,8.73
2018,9.91,7.53,8.8
2019,10.5,8.37,9.5
2020,9.98,8.19,8.83
