"year","Icy_Strait_SST_MJJ","Icy_Strait_SST_May","Icy_Strait_SST_AMJJ"
1997,10.43,7.17,8.92
1998,10.15,7.4,8.96
1999,9.3,6.33,8.17
2000,10.08,7.1,8.76
2001,9.67,6.54,8.47
2002,9.44,6.31,8.08
2003,10.2,7.42,8.97
2004,10.87,7.75,9.38
2005,11.3,8.58,9.74
2006,10.36,6.9,8.97
2007,9.61,6.73,8.26
2008,9.01,6.5,7.83
2009,10.31,7.46,8.75
2010,10.13,7.92,8.87
2011,10.08,7.02,8.65
2012,9.4,7.01,8.24
2013,10.12,6.41,8.61
2014,10.45,8.14,8.96
2015,10.97,8.54,9.6
2016,11.84,8.96,10.52
2017,10.03,7.42,8.83
2018,10.3,7.09,8.97
2019,11.1,8,9.79
2020,10.73,8.19,9.29
