"year","NSEAK_SST_MJJ","NSEAK_SST_May","NSEAK_SST_AMJJ","NSEAK_SST_AMJ"
1997,10.02,7.35,8.71,7.4
1998,9.89,7.65,8.85,7.71
1999,8.93,6.7,7.98,6.95
2000,9.7,7.23,8.57,7.39
2001,9.22,6.66,8.17,7.01
2002,9.05,6.39,7.88,6.61
2003,9.86,7.57,8.76,7.6
2004,10.38,7.89,9.09,7.79
2005,10.63,8.42,9.35,8.26
2006,9.72,6.98,8.55,7.36
2007,9.44,6.9,8.24,7.03
2008,8.65,6.64,7.63,6.74
2009,9.77,7.32,8.4,7.24
2010,9.62,7.76,8.54,7.72
2011,9.67,7.25,8.44,7.44
2012,9.14,6.95,8.09,7.1
2013,9.67,6.59,8.36,7.04
2014,10.03,8.15,8.7,7.64
2015,10.81,8.92,9.56,8.65
2016,11.18,8.92,10.05,9
2017,9.82,7.75,8.77,7.78
2018,10.11,7.53,8.86,7.63
2019,10.87,8.42,9.65,8.44
2020,10.23,8.26,8.98,7.94
2021,10.23,7.29,8.96,7.65
2022,10.52,7.62,9.11,7.74
2023,9.98,7.53,8.69,7.41
