JYear,Year,SEAKCatch,CPUE,Vessel,adj_raw_pink
1997,1998,42.448749,2.477744394,Cobb,5.332718793
1998,1999,77.818105,5.622379984,Cobb,7.141245122
1999,2000,20.248977,1.597723341,Cobb,5.049856007
2000,2001,67.023653,3.729984668,Cobb,6.385194399
2001,2002,45.315401,2.868826043,Cobb,5.501258211
2002,2003,52.466735,2.784664064,Cobb,6.109247583
2003,2004,45.309744,3.077820362,Cobb,5.318119994
2004,2005,59.121487,3.89940674,Cobb,6.80461452
2005,2006,11.6065,2.040345363,Cobb,5.062595033
2006,2007,44.796397,2.572780687,Cobb,6.144185634
2007,2008,15.908924,1.167638593,Cobb,3.850147602
2008,2009,38.024357,2.323473052,Steller,
2009,2010,24.141671,2.333003071,Chellissa,
2010,2011,58.882054,4.10831806,NW Explorer,9.431962767
2011,2012,21.277018,1.454838125,NW Explorer,5.707110265
2012,2013,94.719422,3.521505182,NW Explorer,8.515792211
2013,2014,37.1738647,2.142767709,NW Explorer,6.800170068
2014,2015,35.092568,3.817373297,NW Explorer,7.673223121
2015,2016,18.3742,2.452646547,NW Explorer,6.720220155
2016,2017,34.734774,4.351092515,NW Explorer,7.937731775
2017,2018,8.0677,0.34583664,NW Explorer,3.555348061
2018,2019,21.14191,1.17155842,Medeia,3.931825633
2019,2020,8.062989,1.141970892,Medeia,5.318119994
2020,2021,48.528192,2.147502256,Medeia,4.406719247
2021,2022,18.299158,0.870736152,Medeia,4.462618642
2022,2023,47.839511,1.446381208,Medeia,4.33073334
2023,2024,20.117,1.193241169,Medeia,3.401197382
2024,2025,,1.660168964,Medeia,3.850147602
